"도서관 일련번호","도서관명","구 코드","구명","주소","전화번호","홈페이지 URL","운영시간","정기 휴관일","도서관 구분명","위도","경도"
"1574","꿈밭작은도서관","0008","강남구","서울특별시 강남구 자곡로 204-19 2층","02-3462-9962","","평일 주말: 10:00~17:00(상시운영) ","","작은도서관","37.47375667","127.104168"
"2145","남서울중앙교회작은도서관","0008","강남구","서울특별시 강남구 삼성로 40(개포동) 1층","02-3411-9191","www.nsca.or.kr","평일 : 11:00~18:00 토 : 12:00~16:00 일 : 10:00~18:00","","작은도서관","37.48894236","127.0666071"
"2749","노원을지대학교병원 의학도서실","0008","강남구","서울특별시 노원구 한글비석로 68 지하3층","02-970-8445","","평일 : 08:30~17:30","토~일요일 법정공휴일","전문도서관","37.6365598481778","127.069591664216"
"48","논현도서관","0008","강남구","서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터 6층","02-3443-7650","http://nhlib.gangnam.go.kr/","평일 : 06:00~22:00 주말 : 06:00~22:00","매주 화요일 및 법정 공휴일","공공도서관","37.5172779092976","127.037187913597"
"50","논현정보도서관","0008","강남구","서울특별시 강남구 학동로 169","02-511-7466","https://library.gangnam.go.kr/nhilib/index.do","평일 : 09:00~18:00 토요일 : 09:00~17시","일요일 법정공휴일","작은도서관","37.5138651397213","127.02932175785"
"1542","다움영어도서관","0008","강남구","서울특별시 강남구 개포로 124길 7(일원동)","02-445-0714","cafe.daum.net/daoomeli","평일 : 13:00~19:00","토일요일 법정공휴일","작은도서관","37.49411388","127.0828722"
"1259","대치1동작은도서관","0008","강남구","서울특별시 강남구 남부순환로 391길 19 대치1문화센터 지하1층","02-3452-1170","https://library.gangnam.go.kr/dch1lib/index.do","평일 : 06:00~22:00 주말 : 09:00~17:00","매주 월요일 법정공휴일","작은도서관","37.49324594","127.0567758"
"49","대치도서관","0008","강남구","서울특별시 강남구 삼성로 212 은마아파트 복지상가 2층 215호","02-565-6666","http://dchlib.gangnam.go.kr/","평일 : 6:00~21:00 주말 : 06:00~21:00","매주 화요일 및 법정 공휴일","공공도서관","37.49879449","127.066997"
"1545","데시앙숲속작은도서관","0008","강남구","서울특별시 강남구 광평로 34길 55 ","02-445-4301","","평일 : 13:00~18:00","주말 법정공휴일","작은도서관","37.48070634","127.0896793"
"116","도곡2동작은도서관","0008","강남구","서울특별시 강남구 남부순환로378길 34-9 도곡2동주민센터 ","02-3423-7584","https://library.gangnam.go.kr/small","평일 : 09:00~17:00","토일요일 법정공휴일","작은도서관","37.48372309","127.0464069"
"1402","도곡정보문화도서관","0008","강남구","서울특별시 강남구 도곡로18길 57","02-2176-0783~8","http://dogoklib.gangnam.go.kr/","평일 : 09:00~22:00 주말 : 09:00~17:00","첫째주셋째주 월요일 및 법정공휴일","공공도서관","37.4883101","127.0388803"
"1846","드림작은도서관","0008","강남구","서울특별시 강남구 언주로121길 5(논현동) 1층","02-548-2380","","화 수 목 금 토 :10:00~17:00","월 일요일 법정공휴일","작은도서관","37.51146572","127.0353539"
"1575","래미안포레작은도서관","0008","강남구","서울특별시 강남구 밤고개로 21길 25 ","02-3414-0919","","평일 : 14:00~18:00 토 :11:00~15:00","일요일 법정공휴일","작은도서관","37.47504703","127.1076438"
"2146","루디아영어어린이도서관","0008","강남구","서울특별시 강남구 헌릉로 569 802호(세곡동) 강남리더스빌딩 802호","070-7092-8315  ","","화 수 목 금 : 12:00~18:00","월요일 주말 법정공휴일","작은도서관","37.46575726","127.1012262"
"2133","못골한옥어린이도서관","0008","강남구","서울특별시 강남구 영동대로 65길 24 대치2동주민센터3층","02-567-3833","http://happylib.gangnam.go.kr/","평일 : 09:00~18:00 주말 : 09:00~17:00","매주 월요일 및 법정 공휴일","공공도서관","37.50230515","127.0641886"
"2718","북카페도서관 다독다독 고분다리시장점","0008","강남구","서울특별시 강동구 구천면로34길 16(천호동)","070-7767-0170","","화~금 : 10:00~21:00 주말 : 10:00~17:00","월 법정공휴일","작은도서관","37.5422670931322","127.132096645124"
"2719","북카페도서관 다독다독 구천면로점","0008","강남구","서울특별시 강동구 구천면로 321","070-7767-0177","","화~금 : 10:00~21:00 주말 : 10:00~17:00","월 법정공휴일","작은도서관","37.5482276962821","127.135317466154"
"1576","브리즈힐도서관","0008","강남구","서울특별시 강남구 자곡로 3길 45","02-445-3062","","월 : 15:00~18:00 화 : 14:00~16:00 수 목 :14:00~18:00 금 : 14:00~17:00토 : 11:00~13:00","일요일","작은도서관","37.47222456","127.0906848"
"2415","사피엔스 작은도서관","0008","강남구","서울특별시 강남구 삼성로 720 청담동천주교회","02-3447-0750","http://cafe.daum.net/nazarethlibrary","화 수 목 금 토 일 : 10:00~22:00","월요일","작은도서관","37.5203668","127.0478323"
"1543","삼성도서관","0008","강남구","서울특별시 강남구 봉은사로 616 삼성1동주민센터 동관 4층","02-568-9984","https://library.gangnam.go.kr/sslib/index.do","평일 : 09:00~18:00 주말 : 09:00~17:00","매주 월요일 법정공휴일","작은도서관","37.51435272","127.0626058"
"1697","삼성서울병원의학정보센터","0008","강남구","서울특별시 강남구 일원로 81 삼성서울병원 별관 지하 3층","02-3410-3939","http://library.samsunghospital.com","평일 : 08:30~22:00 주말 : 09:00~13:00","일요일 법정공휴일","전문도서관","37.49034493","127.0895905"
"21","서울특별시교육청강남도서관","0008","강남구","서울특별시 강남구 선릉로116길 45","02-3448-4741~5","http://gnlib.sen.go.kr","평일 : 09:00~20:00 주말 : 09:00~17:00","13주 수요일 및 법정공휴일","공공도서관","37.51368143","127.0468374"
"22","서울특별시교육청개포도서관","0008","강남구","서울특별시 강남구 선릉로4길 30","02-3460-8200","http://gplib.sen.go.kr","평일 : 09:00~20:00 주말 : 09:00~17:00","24주 목요일 및 법정공휴일","공공도서관","37.48308019","127.063867"
"1256","세곡도서관","0008","강남구","서울특별시 강남구 밤고개로 286 세곡동주민센터","02-445-0297","https://library.gangnam.go.kr/sklib/index.do","평일 : 09:00~18:00 주말 : 09:00~17:00","매주 월요일 법정공휴일","작은도서관","37.4690517","127.1069139"
"2417","세곡리엔파크1단지아파트 SH도서관","0008","강남구","서울특별시 강남구 헌릉로 590길 100 관리동2층(세곡동) ","02-445-9441","","매주 화요일 1시 이후만","월수목금토일","작은도서관","37.4640671","127.0984192"
"1577","세곡리엔파크5단지도서관","0008","강남구","서울특별시 강남구 헌릉로590길 63 ","02-451-7070","","평일 : 09:00~18:00 토: 9:00~12:00","일요일 법정공휴일","작은도서관","37.4600486","127.0993931"
"2650","세곡마루도서관","0008","강남구","서울특별시 강남구 헌릉로 590길 68 세곡커뮤니티센터 2층","02-2176-0634","https://library.gangnam.go.kr/segokmarulib/index.do","평일 : 09:00~18:00","토 일요일","작은도서관","37.4610384748108","127.10273751747"
"121","수서동작은도서관","0008","강남구","서울특별시 강남구 광평로 301-4 수서동주민센터 ","02-3423-8584","https://library.gangnam.go.kr/small","평일 : 09:00~18:00","토일요일 법정공휴일","작은도서관","37.48890342","127.1049909"
"119","신사동작은도서관","0008","강남구","서울특별시 강남구 압구정로 128 신사동주민센터 ","02-3423-7334","https://library.gangnam.go.kr/small","평일 : 10:00~17:00","토일요일 법정공휴일","작은도서관","37.52397487","127.0227972"
"1578","아름다운도서관","0008","강남구","서울특별시 강남구 논현로68길 5","02-554-0191","","평일 :  주말 : ","","작은도서관","37.49470924","127.0404834"
"120","압구정동작은도서관","0008","강남구","서울특별시 강남구 압구정로33길 48 압구정동주민센터","02-3423-7634","https://library.gangnam.go.kr/small","평일 : 09:00~18:00","토일요일 법정공휴일","작은도서관","37.53061779","127.0306528"
"117","역삼2동작은도서관","0008","강남구","서울특별시 강남구 언주로 314 강남프라자 2층","02-567-0930","https://library.gangnam.go.kr/ys2lib/index.do","평일 : 09:00~18:00 토요일 : 09:00~17:00","일요일 법정공휴일","작은도서관","37.49588839","127.046474"
"81","역삼도서관","0008","강남구","서울특별시 강남구 역삼로7길 16","02-508-1139","http://yslib.gangnam.go.kr/","평일 : 06:00~22:00 주말 : 06:00~22:00","매주 월요일 및 법정 공휴일","공공도서관","37.49537399","127.0332844"
"2717","열린도서관","0008","강남구","서울특별시 강남구 일원로 115 삼성생명빌딩 B동 203호","02-3412-3970","https://library.gangnam.go.kr/yllib/","평일 : 09:00~22:00 주말 : 09:00~17:00","매주 월요일 및 법정공휴일","공공도서관","37.4840224010593","127.084459720088"
"2649","영롱 농문화 도서관","0008","강남구","서울특별시 강남구 양재대로 55길 6(일원동)","","","월 화 수 금 : 10:30~17:30","","작은도서관","37.4913209890296","127.088314234699"
"1580","이편한세상도서관","0008","강남구","서울특별시 강남구 헌릉로 571길 20 ","02-3411-9245","","월 : 13:00~18:00 화 : 13:00~15:00 수 : 14:00~19:00 목 :13:00~18:00 금 : 14:00~18:00","주말 법정공휴일","작은도서관","37.46574983","127.1030362"
"1570","일원1동작은도서관","0008","강남구","서울특별시 강남구 양재대로55길 14 일원1동 주민센터","02-3423-8381","https://library.gangnam.go.kr/small","월 화 수 목 : 09:00~18:00 금 : 09:00~16:00","주말 법정공휴일","작은도서관","37.49184926","127.0880233"
"118","일원본동작은도서관","0008","강남구","서울특별시 강남구 광평로 126 일원본동주민센터 ","02-3423-8284","https://library.gangnam.go.kr/small","평일 : 10:00~18:00","토일요일 법정공휴일","작은도서관","37.48337783","127.0864821"
"52","정다운도서관","0008","강남구","서울특별시 강남구 학동로67길 11 3층정다운도서관","02-512-9326","http://jdwlib.gangnam.go.kr/","평일 : 09:00~18:00 주말 : 09:00~17:00","매주 화요일 및 법정 공휴일","공공도서관","37.51909941","127.0464411"
"51","즐거운도서관","0008","강남구","서울특별시 강남구 도곡로77길 23","02-565-7533","http://library.gangnam.go.kr","평일 : 06:00~22:00 주말 : 06:00~22:00","매주 월요일 및 법정 공휴일","공공도서관","37.49973075","127.0578497"
"47","청담도서관","0008","강남구","서울특별시 강남구 압구정로79길 26 청담주민센터 7층","02-540-7042","http://cdlib.gangnam.go.kr/","평일 : 06:00~22:00 주말 : 06:00~22:00","매월 첫째 셋째 월요일 및 일요일을 제외한 법정공휴일","공공도서관","37.52509298","127.0492914"
"1694","통계청나라셈도서관","0008","강남구","서울특별시 강남구 언주로 721(논현동) 서울세관 별관 4층","02-3438-8502","http://cafe.naver.com/narasemlib","평일 : 09:00~18:00 주말 : 휴관일","토요일 일요일 법정공휴일","전문도서관","37.5181435469679","127.034980299509"
"2418","페미니즘 도서관 두잉","0008","강남구","서울특별시 강남구 삼성로 654 B1","02-544-5752","https://doingfeminism.org/","월 수 목 금 토요일 : 11:00~2200","화요일 일요일","작은도서관","37.5185487","127.0485138"
"1544","푸르지오책사랑","0008","강남구","서울특별시 강남구 자곡로 21 ","070-8766-4219","lhprugio.kr","평일 : 13:00~22:00","주말 법정공휴일","작은도서관","37.4662566","127.0923733"
"2419","피치서가","0008","강남구","서울특별시 강남구 논현로 168길 39 2층","02-3789-0419","","평일 : 09:00~17:00","주말 법정공휴일","작은도서관","37.5232559","127.0293329"
"74","하상시각장애인도서관","0008","강남구","서울특별시 강남구 개포로 613 하상장애인복지회관","02-451-6000","http://onsori.or.kr","평일 : 09:00~18:00 주말 : 09:00~18:00","일요일 공휴일","장애인도서관","37.4924322","127.0728459"
"2420","하음작은도서관","0008","강남구","서울특별시 강남구 개포로25길 5 B1","02-577-4874","","월 화 : 13:0~18:00 수 : 15:00~21:00 목 : 13:00~18:00 금 : 16:00~22:00토 일 : 9:00~15:00","","작은도서관","37.4792226","127.045865"
"1700","한국고등교육재단정보자료실","0008","강남구","서울특별시 강남구 테헤란로 211 한국고등교육재단 지하3층","02-554-3512","http://www.kfas.or.kr/Library/Library0101.aspx","평일 : 09:00~18:00 주말 : 휴관일","주말 공휴일","전문도서관","37.50188824","127.0392423"
"1695","한국관세무역개발원자료실","0008","강남구","서울특별시 강남구 언주로 735 관우빌딩 6층","02-3416-5112","http://kctdi.libp.net/","평일 : 09:00~17:00 주말 : 휴관일","토요일 일요일 법정공휴일","전문도서관","37.52079171","127.0337358"
"1699","한국무역협회정보자료실","0008","강남구","서울특별시 강남구 영동대로 511 무역센터 트레이드타워 603호","02-6000-5109","http://edms.kita.net","평일 : 09:30~17:30 주말 : 휴관일","토요일 일요일 법정공휴일","전문도서관","37.51035608","127.0610231"
"1696","한국문학번역원번역전문도서관","0008","강남구","서울특별시 강남구 영동대로112길 32","02-6919-7755","http://library.klti.or.kr/?language=ko","평일 : 09:00~12:00 13:00~18:00(월~금) 18:00~22:00(4~7월 9~12월 월~목) 주말 : 휴관일","토요일일요일 법정공휴일","전문도서관","37.51522231","127.0628405"
"104","한국지식재산연구원지식재산전문도서관","0008","강남구","서울특별시 강남구 테헤란로 131 한국지식재산센터 3층","02-2189-2681~2","http://lib.kiip.re.kr","평일 : 09:00~18:00 주말 : 휴관일","공휴일","전문도서관","37.50008222","127.0329376"
"53","행복한도서관","0008","강남구","서울특별시 강남구 영동대로65길 24(대치2문화센터 3층)","02-567-3833","http://happylib.gangnam.go.kr/","평일 : 06:00~22:00 주말 : 06:00~22:00","매주 화요일 및 법정 공휴일","공공도서관","37.50230515","127.0641886"
"2421","힐즈도서관","0008","강남구","서울특별시 강남구 자곡로 101","02-3414-0400","","매일 07:00~22:00","","작은도서관","37.4724452","127.0958153"
"146","가람슬기작은도서관","0010","강동구","서울특별시 강동구 강동대로53길 76 (성내동) 성내3동주민센터 1층","02-474-4030","http://www.gdlibrary.or.kr/small/","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.52604274","127.1328841"
"105","강동구립강일도서관","0010","강동구","서울특별시 강동구 아리수로 93길 9-14","02-427-7676","http://www.gdlibrary.or.kr","평일 : 09:00~18:00 주말 : 09:00~17:00","매주 화요일 및 법정 공휴일","공공도서관","37.56504077","127.1739073"
"2699","강동구립둔촌도서관","0010","강동구","서울특별시 강동구 동남로49길 21-8","02-48-6557","http://www.gdlibrary.or.kr","평일 : 09:00~18:00 주말 : 09:00~17:00","매주 화요일 및 법정 공휴일","공공도서관","37.5317867939007","127.148160430097"
"63","강동구립성내도서관","0010","강동구","서울특별시 강동구 성안로 106-1","02-471-1071","http://www.gdlibrary.or.kr","평일 : 09:00~20:00 주말 : 09:00~17:00","매주 월요일 및 법정 공휴일","공공도서관","37.53283244","127.1333354"
"1067","강동구립암사도서관","0010","강동구","서울특별시 고덕로 20길 42 (암사동 471-37)","02-429-0476","http://www.gdlibrary.or.kr","평일 : 09:00~22:00 주말 : 09:00~17:00","매주 월요일 및 법정 공휴일","공공도서관","37.55283455","127.1333221"
"1971","강동구립천호도서관","0010","강동구","서울특별시 강동구 성안로 31마길 1(천호3동 제2공영주차장 지상 2층)","02-488-7223","http://www.gdlibrary.or.kr","평일 : 09:00~18:00 주말 : 09:00~17:00","매주 월요일 및 법정 공휴일","공공도서관","37.54052333","127.1340816"
"96","강동구립해공도서관","0010","강동구","서울특별시 강동구 올림픽로 702","02-478-9656","http://www.gdlibrary.or.kr","평일 : 09:00~22:00 주말 : 09:00~17:00","매주 화요일 및 법정 공휴일","공공도서관","37.54394314","127.1255359"
"1702","강동성심병원의학도서실","0010","강동구","서울특별시 강동구 성안로 150 강동성심병원 제2별관 교육연구관 5층","02-2224-2172","http://dl.hallym.or.kr/hl/","평일 : 08:30~17:30 주말 : 08:30~13:30","토요일(격주)일요일 법정공휴일","전문도서관","37.53615563","127.135336"
"1262","강동육아누리도서관","0010","강동구","서울특별시 강동구 상암로 168 강동구민회관 2층 2층","02-487-3516","www.gdkids.or.kr","평일 : 09:00~18:00 주말 : 09:00~17:00","일요일","작은도서관","37.54573146","127.1412226"
"2008","강일1단지작은도서관","0010","강동구","서울특별시 강동구 아리수로 93가길25 관리동 2층","02-427-0051","","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.56787986","127.1726055"
"128","강일리버파크6단지책향기작은도서관","0010","강동구","서울특별시 강동구 아리수로94길 19 강일리버파크6단지아파트 관리사무소 2층 ","02-426-6649","http://cafe.naver.com/gangilriverpark6","평일 : 13:00~17:00 주말 : 휴관일","매주 토요일일요일","작은도서관","37.5636621","127.1760796"
"133","게냇골작은도서관","0010","강동구","서울특별시 강동구 구천면로 633(상일동) 상일동 주민센터 2층 ","02-428-7041","http://www.gdlibrary.or.kr/small/","평일 : 13:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.550583747471","127.168300419219"
"1558","고덕리엔파크3단지SH작은도서관","0010","강동구","서울특별시 강동구 상일로 74 고덕리엔파크3단지아파트 315동 1층 ","070-4234-0490","http://godeokrien3library.modoo.at/","평일 : 12:00~16:00 주말 : 13:00~17:00","매주 화요일","작은도서관","37.55327315","127.176167"
"144","글고운작은도서관","0010","강동구","서울특별시 강동구 성내로 13 2층(성내동) 성내1동 주민센터 1층","02-475-5156","http://www.gdlibrary.or.kr/small/","평일 : 10:00~16:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.53047266","127.1224554"
"137","글마루작은도서관","0010","강동구","서울특별시 강동구 아리수로78길 43-12 2층(고덕동) 고덕2동주민센터 2층","070-8153-0560","http://www.gdlibrary.or.kr/small/","평일 : 13:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.56474145","127.1624637"
"140","글익는작은도서관","0010","강동구","서울특별시 강동구 고덕로 137 3층(암사동) 암사3동주민센터 3층","02-428-1643","http://www.gdlibrary.or.kr/small/","평일 : 13:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.56262355","127.1384359"
"141","글향기작은도서관","0010","강동구","서울특별시 강동구 구천면로42길 59 2층(천호동) 천호1동주민센터 2층","02-470-3613","http://www.gdlibrary.or.kr/small/","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.55042474","127.1397249"
"2651","꿈누리작은도서관","0010","강동구","서울특별시 강동구 동남로 83길 87(고덕동) 1층","02-426-9469","","월~토 : 09:00~21:00","일 법정공휴일","작은도서관","37.5590927113199","127.152275788153"
"1560","늘솔길작은도서관","0010","강동구","서울특별시 강동구 양재대로156길 123 5층(고덕동) 고덕1동주민센터 5층","02-429-0423","http://www.gdlibrary.or.kr/small/","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.56446543","127.1615646"
"2002","다온작은도서관","0010","강동구","서울특별시 강동구 천중로51길 52 (길동) 2층","","","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.54313195","127.1448914"
"134","도담도담북카페","0010","강동구","서울특별시 강동구 양재대로138길 37 1층(명일동) 명일1동주민센터 1층","02-427-2152","http://www.gdlibrary.or.kr/small/","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.55462967","127.1490347"
"2653","또바기작은도서관","0010","강동구","서울특별시 강동구 아리수로98길 25(강일동) 2층","02-3427-0007","","평일 : 10:00~17:00","토 일 법정공휴일","작은도서관","37.5652765727484","127.178358990921"
"2007","래미안힐스테이트고덕작은도서관","0010","강동구","서울특별시 강동구 아리수로 50길 50 304동 1층","070-4640-4583","","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.5583596","127.151086"
"1263","롯데캐슬도서관","0010","강동구","서울특별시 강동구 고덕로 131 강동롯데캐슬퍼스트아파트 관리동 지하1층 ","070-8702-1899","http://lib.gangdong.go.kr/small/main.do","평일 : 09:00~17:00 주말 : 09:00~17:30","매주 월요일일요일","작은도서관","37.55639905","127.1401469"
"2422","루르드의작은도서관(구 강일동성당작은도서관)","0010","강동구","서울특별시 강동구 고덕로 476 1층","02-442-1244","","평일 : 10:00~17:00","토 일 법정공휴일","작은도서관","37.5578016","127.1764168"
"78","명성교회도서관","0010","강동구","서울특별시 강동구 상암로51길 8","02-440-9140","http://www.mslib.or.kr","평일 : 10:00~18:00 주말 : 10:00~17:30","매주 월요일","공공도서관","37.54691053","127.1462765"
"149","반딧불 북카페작은도서관","0010","강동구","서울특별시 강동구 천호대로 1183","02-474-5157","http://www.gdlibrary.or.kr/small/","평일 : 월수금:10:00~17:00 화목:14:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.53465461","127.1426205"
"130","반석도서관","0010","강동구","서울특별시 강동구 천중로49길 32-10 1층","070-7437-2734","http://lib.gangdong.go.kr/small/main.do","평일 : 11:00~17:00 주말 : 휴관일","토요일일요일","작은도서관","37.54225826","127.143603"
"2005","배움의공동체학사재","0010","강동구","서울특별시 강동구 동남로83길21 지하1층","02-481-9122","","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.56068991","127.1553954"
"143","부엉이작은도서관","0010","강동구","서울특별시 강동구 진황도로23길 7 2층(천호동) 천호3동주민센터 1층","02-470-3027","http://www.gdlibrary.or.kr/small/","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.54004014","127.129784"
"2656","북카페도서관 다독다독 1호점","0010","강동구","서울특별시 강동구 양재대로 1419 2층(성내동)","070-7767-0120","","화~금 : 10:00~21:00 주말 : 10:00~17:00","월 법정공휴일","작은도서관","37.5329810802107","127.137653395191"
"1563","상상마루작은도서관","0010","강동구","서울특별시 강동구 상일로 152 고덕리엔1단지 107동 1층 ","02-481-4589","http://lib.gangdong.go.kr/small/main.do","평일 : 15:00~18:00 주말 : 13:00~17:00","매주 일요일","작은도서관","37.56082582","127.1710307"
"24","서울특별시교육청강동도서관","0010","강동구","서울특별시 강동구 양재대로116길 57","02-2225-9800~3","http://gdlib.sen.go.kr","평일 : 09:00~20:00 주말 : 09:00~17:00","13주 목요일 및 법정공휴일","공공도서관","37.53815107","127.1434874"
"25","서울특별시교육청고덕평생학습관","0010","강동구","서울특별시 강동구 고덕동길 295 (고덕2동 296)","02-6902-2600","http://gdllc.sen.go.kr","평일 : 09:00~20:00 주말 : 09:00~17:00","24주 월요일 및 법정공휴일","공공도서관","37.55930391","127.1579066"
"1260","서원마을작은도서관","0010","강동구","서울특별시 강동구 올림픽로 936 2층(암사동) 마을회관 2층","070-8825-1410","http://www.gdlibrary.or.kr/small/","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.56400935","127.1333801"
"2006","성내PLUS작은도서관","0010","강동구","서울특별시 강동구 성내로3길18 지하1층","070-8812-0124","","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.53081531","127.1228364"
"1261","솔향기북카페","0010","강동구","서울특별시 강동구 고덕로97길 20 관리사무소 2층(강일동) 관리동 2층","02-427-6695","http://www.gdlibrary.or.kr/small/","평일 : 10:00~17:00 주말 : 10:00~13:00","일 법정공휴일","작은도서관","37.57900841","127.1719981"
"147","아람작은도서관","0010","강동구","서울특별시 강동구 양재대로84길 31  2층 (둔촌동)","02-475-9948 070-8151-9718","http://www.gdlibrary.or.kr/small/","평일 : 10:00~17:00 주말 : 휴관일","토?일?공휴일 매월 마지막 주 화요일","작은도서관","37.53131068","127.1497915"
"1849","아빠하우스작은도서관","0010","강동구","서울특별시 강동구 아리수로93나길 60 골드프라자 505호","02-486-7785","","평일 : 화 수 목 금:14:00~18:00 주말 : 휴관일","월 토 일 법정공휴일","작은도서관","37.5722862056733","127.175179201458"
"145","안말작은도서관","0010","강동구","서울특별시 강동구 풍성로37가길 62 (성내동) 성내2동주민센터 2층","02-488-2392","http://www.gdlibrary.or.kr/small/","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.53242851","127.1295401"
"2655","엘림작은도서관","0010","강동구","서울특별시 강동구 천호대로 1095(천호동) 511호","","","평일 : 10:00~17:00","토 일 법정공휴일","작은도서관","37.5359422069464","127.133662259698"
"132","옹기종기작은도서관","0010","강동구","서울특별시 강서구 공항대로 61길 50 염창지역정보센터 내 2층","02-2600-7324","http://lib.gangseo.seoul.kr/","평일 : 10:00~18:00 주말 : 휴관일","토요일 일요일 공휴일","작은도서관","37.52925099","127.1429858"
"2423","작은도서관 웃는책(구 천일어린이도서관)","0010","강동구","서울특별시 강동구 구천면로42길 60(천호동) 12층","02-478-8600","http://www.gdlibrary.or.kr/small/","평일 : 09:30~18:30 주말 : 토:10:00~17:00","일 법정공휴일","작은도서관","37.55469166","127.1516834"
"2003","좋은땅꿈나책작은도서관","0010","강동구","서울특별시 강동구 풍성로37가길 58 지하1층","070-4422-6911","","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.5325480481829","127.129374921809"
"2004","주영광작은도서관","0010","강동구","서울특별시 강동구 양재대로115길 28 (길동) 3층","02-489-5259","","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.53245682","127.1292287"
"138","채우리작은도서관","0010","강동구","서울특별시 강동구 고덕로24길 49 1층(암사동) 암사1동자치회관 1층","02-481-6152","http://www.gdlibrary.or.kr/small/","평일 : 10:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.53921083","127.1388733"
"135","책꾸러미작은도서관","0010","강동구","서울특별시 강동구 상암로 260 2층(명일동) 명일2동주민센터 2층","02-442-3982","http://www.gdlibrary.or.kr/small/","평일 : 13:00~17:00 주말 : 휴관일","토 일 법정공휴일","작은도서관","37.55236421","127.1357035"
