"고유번호","시설명","담당구","주소","연락처","홈페이지","추천수","주출입구 접근로 여부","장애인 전용 주차구역 여부","주출입구 높이차이 제거 여부","장애인용 승강기 여부","장애인 화장실 여부","장애인용 객실 이용가능 여부","장애인용 관람석 이용가능 여부","장애인 매표소 여부","시각장애인 편의서비스 여부","청각장애인 편의서비스 여부","안내 서비스 여부","휠체어 대여 여부"
"2557","서울안산초등학교","서대문구","서울시 서대문구 통일로 321","02-737-4265","www.ansan.es.kr/","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"2913","서울연가초등학교","서대문구","서울시 서대문구 증가로12가길 49-50","02-372-3044","www.yeonga.es.kr/","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"3234","덕원중학교","강서구","서울시 강서구 강서로45길  91-44","02-2660-7955","www.deokwon.ms.kr","0","N","N","N","N","N","N","N","N","N","N","N","N"
"3256","송파공업고등학교","송파구","서울시 송파구 양산로 21","02-6711-0595","www.songpa-th.hs.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3261","서울외국어고","도봉구","서울시 도봉구 덕릉로66길 22","1670-1005","http://www.sfl.hs.kr/","0","Y","Y","N","Y","Y","N","N","N","N","N","N","N"
"3132","진관중학교","은평구","서울시 은평구 진관4로  36","02-383-5379","www.jingwan.ms.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"711","잠실2동우체국","송파구","서울시 송파구 올림픽로 147","02-423-2004","","0","Y","N","Y","N","N","N","N","N","N","N","N","N"
"73","방화2동주민센터","강서구","서울시 강서구 개화동로23길 20","02-2600-5235","http://www.gangseo.seoul.kr/site/dong/index.jsp?dnum=21&dcode=BH2","2","Y","Y","Y","Y","N","N","N","N","N","N","N","N"
"761","자양동우체국","광진구","서울시 광진구 뚝섬로 640","02-455-2004","","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"392","고덕1 치안센터","강동구","서울시 강동구 고덕로55길 63","","","0","Y","Y","N","N","N","N","N","N","N","N","N","N"
"1458","창광교회","서대문구","서울시 서대문구 연세로2길 69","","","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3922","두란노어린이집","강서구","서울시 강서구 금낭화로13길 51","02-2663-5590","","0","Y","Y","Y","Y","N","N","N","N","N","N","N","N"
"4334","관악예삐어린이집","관악구","서울시 관악구 문성로 238","02-863-7884","","1","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"4339","하나몬테소리어린이집","은평구","서울시 은평구 증산로17길  25-1","02-375-1233","","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"5340","마리오-2 패션타워","금천구","서울시 금천구 디지털로9길 23","02-2109-7000","http://www.mariooutlet.co.kr/web/outlet/mariooutlet_comway","0","Y","Y","Y","N","Y","Y","N","N","N","N","N","N"
"4606","강동청소년수련관","강동구","서울시 강동구 아리수로93길 47","02-6252-1300","http://www.wagle.or.kr/","0","N","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3926","구립 둔촌어린이집","강동구","서울시 강동구 명일로 129","02-474-7445","","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"5366","메가벤처타워","영등포구","서울시 영등포구 문래로20길   60","02-2632-4438","","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"4649","대한체육회선수촌","노원구","서울시 노원구 화랑로 681","02-970-0021","","0","Y","Y","N","N","N","N","N","N","N","N","N","N"
"4673","이천이프라자","강서구","서울시 강서구 공항대로  271","","","0","Y","N","Y","N","N","N","N","N","N","N","N","N"
"1415","LG아트센터","강남구","서울시 강남구 논현로  508","02-2005-0114","http://www.lgart.com","0","Y","Y","N","Y","N","N","Y","N","N","N","N","N"
"3544","이화여자대학교 E.C.C(이화캠퍼스밸리)","서대문구","서울시 서대문구 이화여대길 52","02-3277-2114","www.ewha.ac.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3463","선일이비즈니스고등학교","은평구","서울시 은평구 갈현로29길 27","02-352-8025","www.ebiz.hs.kr","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"3907","롯대백화점어린이집","종로구","서울시 종로구 북촌로5길 11","02-3674-5004","","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"3917","홍익어린이집","양천구","서울시 양천구 지양로9길 5","02-2607-4523","","0","N","Y","Y","N","Y","N","N","N","N","N","N","N"
"3057","광희중학교","성동구","서울시 성동구 독서당로62길 46","02-2298-0250","www.kwanghee.ms.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3320","선일여자고등학교","은평구","서울시 은평구 갈현로29길 27","02-355-9994","www.sunil.hs.kr","0","Y","Y","N","N","N","N","N","N","N","N","N","N"
"2887","강남초등학교","동작구","서울시 동작구 강남초등길 15","02-824-4471","www.kangnam-se.es.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3531","추계예술대학교","서대문구","서울시 서대문구 북아현로11가길  7","02-362-5700","www.chugye.ac.kr","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"2678","미양초등학교","강북구","서울시 강북구 솔샘로 195","02-989-9467","www.mi-yang.es.kr","3","N","Y","Y","Y","Y","N","N","N","N","N","N","N"
"5501","LG U+(KIDC)","강남구","서울시 강남구 언주로 616","","","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"2853","동신초등학교","성북구","서울시 성북구 보문사길  50","02-923-3870","www.sdongsin.es.kr","0","N","Y","Y","N","N","N","N","N","N","N","N","N"
"3566","유림학원","관악구","서울시 관악구 호암로20길 46","","","0","Y","Y","N","N","N","N","N","N","N","N","N","N"
"3101","동북중학교","강동구","서울시 강동구 강동대로  305","02-477-2280","www.dongbuk.ms.kr","0","N","Y","N","N","N","N","N","N","N","N","N","N"
"2539","청원초병설유치원","노원구","서울시 노원구 한글비석로 506","02-3399-7886","www.cheongwon-seoul.es.kr/","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"2558","상지초등학교","마포구","서울시 마포구 월드컵로42길  30","02-303-9009","www.seoulsangji.es.kr","0","Y","Y","N","Y","Y","N","N","N","N","N","N","N"
"2896","망우초등학교","중랑구","서울시 중랑구 망우로72길 49","02-2209-6323","www.mangwoo.es.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"2898","연촌초등학교","노원구","서울시 노원구 공릉로58길 36","02-972-1676","www.yeonchon.es.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"2908","서울 대방초등학교","영등포구","서울시 영등포구 여의대방로35길 14","02-833-0083","www.sdaebang.es.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3110","고려사대부속중학교","성북구","서울시 성북구 정릉로 161","02-914-8853/914-3368","http://www.koryo.ms.kr/","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"3038","재현중학교","노원구","서울시 노원구 덕릉로82길 64","02-932-4816","http://jaehyun.ms.kr/","0","N","Y","Y","Y","Y","N","N","N","N","N","N","N"
"2503","불광유치원","송파구","서울시 송파구 송파대로4길 23","02-422-1311~2","www.bulkwangkids.com","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"3116","북서울중","도봉구","서울시 도봉구 도봉로169가길 33","02-956-1004","http://www.bukseoul.ms.kr/","0","Y","N","N","N","Y","N","N","N","N","N","N","N"
"2581","신광초등학교","용산구","서울시 용산구 청파로 263","02-710-7900","www.shinkwang.es.kr","0","Y","Y","N","N","N","N","N","N","N","N","N","N"
"864","새락골어린이공원화장실","은평구","서울시 은평구 은평로3가길 34","","http://www.ep.go.kr/CmsWeb/viewPage.req?idx=PG0000001069","0","Y","N","Y","N","Y","N","N","N","N","N","N","N"
"358","가락1동주민센터","송파구","서울시 송파구 송파대로 35","02-2147-4450","http://www.songpa.go.kr/user.kdf?a=songpa.menu.MenuApp&cate_id=BC0100000000","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"3860","지안어린이집","광진구","서울시 광진구 뚝섬로58가길 26-4","02-3436-3866","","0","Y","Y","Y","Y","N","N","N","N","N","N","N","N"
"3862","한울어린이집","광진구","서울시 광진구 천호대로117길 51","02-458-7005","","0","Y","Y","N","Y","N","N","N","N","N","N","N","N"
"3864","하늘빛어린이집","중랑구","서울시 중랑구 봉화산로21길 14","02-434-7117","","0","N","Y","Y","N","N","N","N","N","N","N","N","N"
"3868","제자어린이집","노원구","서울시 노원구 중계로14바길 10","02-930-3172","","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"231","수궁동주민센터","구로구","서울시 구로구 오리로15길 32","02-2620-7650","http://www.guro.go.kr/dong/NR_index.do?categoryVal=1015","0","Y","Y","N","N","N","N","N","N","N","N","N","N"
"236","답십리1동주민센터","동대문구","서울시 동대문구 사가정로  30","02-2171-6220","http://dong.ddm.go.kr/intro","0","Y","Y","N","N","N","N","N","N","N","N","N","N"
"1646","노량진교회기념관","동작구","서울시 동작구 노량진로30길 9","02-814-3425","","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"4071","도레미어린이집","송파구","서울시 송파구 송이로17길 13","02-430-3123","","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"4073","꼬예미키즈어린이집","송파구","서울시 송파구 오금로36길 37","02-448-4481","","0","Y","Y","N","N","N","N","N","N","N","N","N","N"
"109","응암3동주민센터","은평구","서울시 은평구 불광천길 410-17","02-351-5272","http://www.ep.go.kr/CmsWeb/viewPage.req?idx=PG0000002312","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"1510","선교교회","강서구","서울시 강서구 곰달래로25길 74","","","0","Y","Y","N","N","N","N","N","N","N","N","N","N"
"507","면목1치안센터","중랑구","서울시 중랑구 면목로66길 7","02-434-6307","","0","Y","Y","N","N","N","N","N","N","N","N","N","N"
"1557","창동제일교회","도봉구","서울시 도봉구 해등로   126","","","1","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"839","공중화장실","도봉구","서울시 도봉구 시루봉로6길 33","","","0","Y","N","N","N","Y","N","N","N","N","N","N","N"
"229","고덕1동 주민센터","강동구","서울시 강동구 아리수로54길 55","02-3425-7520","http://dong.gangdong.go.kr/site/contents/dong/3240043/main.jsp","0","N","Y","N","N","N","N","N","N","N","N","N","N"
"5730","BYRDS(버즈)","마포구","서울시 마포구 와우산로 51","","","0","N","N","N","N","N","N","N","N","N","N","N","N"
"5741","명월관","마포구","서울시 마포구 와우산로19길 6-5","","","0","N","N","N","N","N","N","N","N","N","N","N","N"
"372","서교동주민센터","마포구","서울시 마포구 월드컵북로  15","02-3153-6740","http://www.mapo.go.kr/CmsWeb/template/seogyo","0","N","Y","Y","Y","N","N","N","N","N","N","N","N"
"103","둔촌1동 주민센터","강동구","서울시 강동구 양재대로84길 31","02-3425-7880","http://dong.gangdong.go.kr/site/contents/dong/3240058/main.jsp?uri=http%3A%2F%2Fdong.gangdong.go.kr%2Fsite%2Fcontents%2Fdong%2F3240058%2Fmain.jsp","0","Y","Y","N","N","Y","N","N","N","N","N","N","N"
"1613","소림서원(동인암)","관악구","서울시 관악구 봉천로23마길 12","","","0","Y","Y","N","N","N","N","N","N","N","N","N","N"
"868","나들이공원화장실(단지내)","강서구","서울시 강서구 허준로 23","","","0","Y","N","Y","N","N","N","N","N","N","N","N","N"
"5946","서울시도서관 (옛 서울청사)","중구","서울시 중구 태평로1가 31","","","0","Y","N","Y","Y","Y","N","N","N","N","N","N","N"
"883","무지개공원화장실(단지내)","강서구","서울시 강서구 양천로57길 37","","","0","Y","N","Y","N","N","N","N","N","N","N","N","N"
"208","송파2동주민센터","송파구","서울시 송파구 송이로 32","02-2147-4330","http://www.songpa.go.kr/user.kdf?a=songpa.menu.MenuApp&cate_id=BC1500000000","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"184","신길4동주민센터","영등포구","서울시 영등포구 신길로42길 1","02-2670-1299","http://www.ydp.go.kr/jumin/page.do?mCode=A025000000&path=jumin&dongNm=%BD%C5%B1%E64%B5%BF","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"2021","예능교회","종로구","서울시 종로구 세검정로 363-5","02-379-8855","www.ynch.com","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"2023","한밀교회","강서구","서울시 강서구 수명로2길 88","02-2605-7588","www.hanmil.or.kr/","1","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"2304","노블요양병원","은평구","서울시 은평구 응암로  304","02-382-0088","noblesilver.co.kr","0","Y","Y","N","Y","N","N","N","N","N","N","N","N"
"2312","건강한세상앞선치과병원","강남구","서울시 강남구 테헤란로87길 46","02-2016-7528","www.apsundental.com","1","Y","Y","Y","Y","N","N","N","N","N","N","N","N"
"2053","관악프라자","관악구","서울시 관악구 관악로  212","","","1","Y","Y","Y","Y","N","N","N","N","N","N","N","N"
"2076","홈플러스 가양점","강서구","서울시 강서구 양천로  431","02-2063-2080","www.homeplus.co.kr/","0","N","Y","Y","Y","Y","N","N","N","N","N","N","N"
"2231","새빛요양병원(윤빌딩)","강서구","서울시 강서구 화곡로61길 109","02-2658-3929","www.saebit.net","0","N","Y","N","Y","Y","N","N","N","N","N","N","N"
"950","연세웰치과","도봉구","서울시 도봉구 도봉로 480","02-902-7528","http://www.yonseiwell.co.kr/","0","Y","Y","N","Y","N","N","N","N","N","N","N","N"
"2041","이마트 묵동점","중랑구","서울시 중랑구 동일로 932","02-2083-1234","www.store.emart.com/","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3507","국민대경상관","성북구","서울시 성북구 정릉로 77","02-910-4511","http://kyungsang.kookmin.ac.kr/","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3550","방송통신대","성동구","서울시 성동구 아차산로 12","02-460-6777","www.wseoul.knou.ac.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3828","예일어린이집","은평구","서울시 은평구 은평로6길  11","02-358-7020","","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"4045","꾸러기어린이집","관악구","서울시 관악구 문성로 242","02-864-6636","","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"3401","휘문 고등학교","강남구","서울시 강남구 역삼로 541","070-7090-0300","http://www.whimoon.hs.kr/","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3483","서울대학교해동학술관","관악구","서울시 관악구 관악로  1","","","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3497","광운대학교(한울관)","노원구","서울시 노원구 광운로6길 53","02-940-5114","http://www.kw.ac.kr/","0","N","Y","Y","N","N","N","N","N","N","N","N","N"
"2919","창천초등학교","마포구","서울시 마포구 백범로1길 56","02-715-4667","www.changchon.es.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3028","창일중","도봉구","서울시 도봉구 노해로66길 60","02-994-5934","www.changil.ms.kr","0","Y","Y","N","Y","Y","N","N","N","N","N","N","N"
"2447","서울정진학교","구로구","서울시 구로구 부일로9길  158","02-2688-1303","www.jungjin.sc.kr/","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"4226","구립천호어린이집","강동구","서울시 강동구 천중로35길 60","02-483-1439","","0","Y","Y","Y","N","Y","Y","N","N","N","N","N","N"
"2453","동천학교","노원구","서울시 노원구 노원로18길 41","02-974-9575","www.dongchun.sc.kr/","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"2976","개웅초등학교","구로구","서울시 구로구 개봉로11길 98","02-2683-1291","www.gaewoong.es.kr/","0","N","Y","Y","N","Y","N","N","N","N","N","N","N"
"2387","김홍일내과","금천구","서울시 금천구 시흥대로 202","","","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"2469","동부센트레빌 교육센타(우람유치원)","강서구","서울시 강서구 양천로23길 34","02-2667-0645","www.wooram.kidis.kr/","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"2970","신길초등학교","동작구","서울시 동작구 알마타길 16","02-815-3741","www.singil.es.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"195","대조동 주민센터","은평구","서울시 은평구 연서로20길 24-3","02-351-5182","http://www.ep.go.kr/CmsWeb/viewPage.req?idx=PG0000002302","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"4485","유정어린이집","도봉구","서울시 도봉구 시루봉로27길 58","02-955-1377","","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"3080","경신중학교","종로구","서울시 종로구 혜화로 74","02-762-0390","www.ksms.ms.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"4759","방배2동주민센터","서초구","서울시 서초구 청두곶길 36","02-2155-7771","http://bangbae2.seocho.go.kr/","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"4781","서울금천우체국","금천구","서울시 금천구 시흥대로 410","02-861-4403","","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"5301","BYC HIGHCITY","금천구","서울시 금천구 가산디지털1로  131","02-840-3210","http://www.bychighcity.co.kr/","1","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"4793","강서구청","강서구","서울시 강서구 화곡로 302","02-2600-6114","http://www.gangseo.seoul.kr/","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3794","은평구립도서관","은평구","서울시 은평구 통일로78가길 13-84","02-385-1671","","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
