"시설명","시도명","시군구명","시군구코드","소재지도로명주소","소재지지번주소","위도","경도","설치장소설명","평일운영시작시각","평일운영종료시각","토요일운영시작시각","토요일운영종료시각","공휴일운영시작시각","공휴일운영종료시각","동시사용가능대수","공기주입가능여부","휴대전화충전가능여부","관리기관명","관리기관전화번호","데이터기준일자","제공기관코드","작업일시"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 도영로7길 10","서울특별시 영등포구 도림동 222-7","37.5094933996","126.8959995828","도림동주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2670-7287","2021-04-14","3180000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 문래로28길 15","서울특별시 영등포구 문래동3가 55-16","37.5171097508","126.8995233041","문래동주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2670-7338","2021-04-14","3180000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 디지털로 441","서울특별시 영등포구 대림동 899-2","37.49545723","126.905842","대림1동주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2670-7884","2021-04-14","3180000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 영등포로11길 12","서울특별시 영등포구 양평동1가 211-1","37.523646","126.888228","양평1동주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-3457-7383","2021-04-14","3180000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 선유로47길 30","서울특별시 영등포구 양평동4가 96","37.5365013611","126.8940394192","양평2동주민센터  입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-3457-1226","2021-04-14","3180000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 대방천로 169","서울특별시 영등포구 신길동 3741-11","37.499333","126.909836","신길6동주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2670-7785","2021-04-14","3180000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 여의대방로43길 10","서울특별시 영등포구 신길동 897-3","37.5063920279","126.9215140942","신길7동주민센터입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-3457-1373","2021-04-14","3180000","2022-02-14 14:37:28.0"
"홍제3동주민센터","서울특별시","서대문구","11410","서울특별시 서대문구 세검정로4길 32","서울특별시 서대문구 홍제동 7-13","37.59376657","126.9496911","홍제3동주민센터","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","홍제3동주민센터","02-330-8125","2020-01-01","3120000","2022-02-14 14:37:28.0"
"홍은1동주민센터","서울특별시","서대문구","11410","서울특별시 서대문구 홍은중앙로 85","서울특별시 서대문구 홍은동 11-853","37.59885299","126.9471453","홍은1동주민센터","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","홍은1동주민센터","02-330-8129","2020-01-01","3120000","2022-02-14 14:37:28.0"
"홍은2동주민센터","서울특별시","서대문구","11410","서울특별시 서대문구 모래내로 334","서울특별시 서대문구 홍은동 273-10","37.58010825","126.9341504","홍은2동주민센터","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","홍은2동주민센터","02-330-8134","2020-01-01","3120000","2022-02-14 14:37:28.0"
"남가좌1동주민센터","서울특별시","서대문구","11410","서울특별시 서대문구 모래내로 15길 37","서울특별시 서대문구 남가좌동 385-3","37.57327487","126.9197797","남가좌1동주민센터","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","남가좌1동주민센터","02-330-8135","2020-01-01","3120000","2022-02-14 14:37:28.0"
"남가좌2동주민센터","서울특별시","서대문구","11410","서울특별시 서대문구 증가로10길 28","서울특별시 서대문구 남가좌동 342-7","37.57843406","126.9238669","남가좌2동주민센터","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","남가좌2동주민센터","02-330-8137","2020-01-01","3120000","2022-02-14 14:37:28.0"
"북가좌1동주민센터","서울특별시","서대문구","11410","서울특별시 서대문구 수색로 100-55(북가좌동)","서울특별시 서대문구 북가좌동 477","37.57436849","126.9101369","북가좌1동주민센터","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","북가좌1동주민센터","02-330-8139","2020-01-01","3120000","2022-02-14 14:37:28.0"
"북가좌2동주민센터","서울특별시","서대문구","11410","서울특별시 서대문구 응암로1길 10(북가좌동)","서울특별시 서대문구 북가좌동 324-13","37.58149091","126.9111755","북가좌2동주민센터","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","북가좌2동주민센터","02-330-8141","2020-01-01","3120000","2022-02-14 14:37:28.0"
"무악재역","서울특별시","서대문구","11410","서울특별시 서대문구 통일로 358-1","서울특별시 서대문구 홍제동 26-1","37.5824248","126.9505791","무악재역","06:00","00:00","06:00","00:00","00:00","00:00","2","N","N","무악재역","02-6110-3251","2020-01-01","3120000","2022-02-14 14:37:28.0"
"충정로역","서울특별시","서대문구","11410","서울특별시 서대문구 서소문로 17","서울특별시 서대문구 충정로3가 319-1","37.5598378","126.964474","충정로역","06:00","00:00","06:00","00:00","00:00","00:00","2","N","N","충정로역","02-6110-2431","2020-01-01","3120000","2022-02-14 14:37:28.0"
"이대역","서울특별시","마포구","11440","서울특별시 마포구 신촌로 180","서울특별시 마포구 염리동 8-85","37.5565093","126.9454858","이대역","06:00","00:00","06:00","00:00","00:00","00:00","2","N","N","이대역","02-6110-2411","2020-01-01","3120000","2022-02-14 14:37:28.0"
"아현역","서울특별시","마포구","11440","서울특별시 마포구 신촌로 270","서울특별시 마포구 아현동 354-23","37.5571213","126.9557107","아현역","06:00","00:00","06:00","00:00","00:00","00:00","2","N","N","아현역","02-6110-2421","2020-01-01","3120000","2022-02-14 14:37:28.0"
"독립문역","서울특별시","서대문구","11410","서울특별시 서대문구 통일로 247","서울특별시 서대문구 현저동 101","37.57610554","126.9554446","독립문역","06:00","00:00","06:00","00:00","00:00","00:00","2","N","N","독립문역","02-6110-3261","2020-01-01","3120000","2022-02-14 14:37:28.0"
"보건소","서울특별시","서대문구","11410","서울특별시 서대문구 연희로 242","서울특별시 서대문구 연희동 165-2","37.5786098","126.9362749","보건소","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","보건소","02-330-1801","2020-01-01","3120000","2022-02-14 14:37:28.0"
"형무소1","서울특별시","서대문구","11410","서울특별시 서대문구 통일로 251","서울특별시 서대문구 현저동 101","37.57460851","126.9556118","형무소1","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","형무소1","02-3140-8305","2020-01-01","3120000","2022-02-14 14:37:28.0"
"형무소2","서울특별시","서대문구","11410","서울특별시 서대문구 통일로 251","서울특별시 서대문구 현저동 101","37.57460851","126.9556118","형무소2","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","형무소2","02-3140-8305","2020-01-01","3120000","2022-02-14 14:37:28.0"
"충현동자치회관","서울특별시","서대문구","11410","서울특별시 서대문구 경기대로 40","서울특별시 서대문구 충정로3가 185-2","37.56293297","126.9623757","충현동자치회관","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","충현동자치회관","02-330-8101","2020-01-01","3120000","2022-02-14 14:37:28.0"
"충현동주민센터","서울특별시","서대문구","11410","서울특별시 서대문구 북아현로22길 38","서울특별시 서대문구 북아현동 1-90","37.56480697","126.9547199","충현동주민센터","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","충현동주민센터","02-330-8101","2020-01-01","3120000","2022-02-14 14:37:28.0"
"신촌동주민센터","서울특별시","서대문구","11410","서울특별시 서대문구 이화여대길 92-8","서울특별시 서대문구 대현동 142-4","37.55954878","126.9435048","신촌동주민센터","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","신촌동주민센터","02-330-8111","2020-01-01","3120000","2022-02-14 14:37:28.0"
"연희동주민센터","서울특별시","서대문구","11410","서울특별시 서대문구 연희로 189","서울특별시 서대문구 연희동 77-9","37.57388703","126.9352207","연희동주민센터","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","연희동주민센터","02-330-8115","2020-01-01","3120000","2022-02-14 14:37:28.0"
"홍제1동주민센터","서울특별시","서대문구","11410","서울특별시 서대문구 통일로 435-1","서울특별시 서대문구 홍제1동 171-1","37.58770606","126.9448892","홍제1동주민센터","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","홍제1동주민센터","02-330-8121","2020-01-01","3120000","2022-02-14 14:37:28.0"
"홍제2동주민센터","서울특별시","서대문구","11410","서울특별시 서대문구 통일로34길 27","서울특별시 서대문구 홍제동 459-4","37.58610547","126.9493691","홍제2동주민센터","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","홍제2동주민센터","02-330-8127","2020-01-01","3120000","2022-02-14 14:37:28.0"
"서대문장애인종합복지관","서울특별시","서대문구","11410","서울특별시 서대문구 북아현로 24","서울특별시 서대문구 북아현동 129-37","37.55947096","126.9570364","서대문장애인종합복지관","09:00","20:00","09:00","17:00","00:00","00:00","2","N","N","서대문장애인종합복지관","02-3140-3000","2020-01-01","3120000","2022-02-14 14:37:28.0"
"시립서대문농아인복지관","서울특별시","서대문구","11410","서울특별시 서대문구 수색로4가길 23","서울특별시 서대문구 남가좌동 270-1","37.57069615","126.9138002","시립서대문농아인복지관","09:00","19:00","00:00","00:00","00:00","00:00","2","N","N","시립서대문농아인복지관","02-3156-6699","2020-01-01","3120000","2022-02-14 14:37:28.0"
"지체장애인협회","서울특별시","서대문구","11410","서울특별시 서대문구 세검정로 78-19","서울특별시 서대문구 홍제동 279-30","37.59518733","126.9490245","지체장애인협회","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","지체장애인협회","02-379-0168","2020-01-01","3120000","2022-02-14 14:37:28.0"
"구립용산장애인복지관","서울특별시","용산구","11170","서울특별시 용산구 효창원로93길 49","","37.54730608","126.9615705","구립용산장애인복지관","09:00","20:00","09:00","16:00","00:00","00:00","1","Y","N","구립용산장애인복지관","02-707-1970","2021-09-15","3020000","2022-02-14 14:37:28.0"
"용산구청","서울특별시","용산구","11170","서울특별시 용산구 녹사평대로 150","","37.53245265","126.9904783","용산구청 2층 민원실","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","N","서울특별시 용산구청","02-2199-7100","2021-09-15","3020000","2022-02-14 14:37:28.0"
"용산구 장애인 커뮤니티센터","서울특별시","용산구","11170","서울특별시 용산구 서빙고로 245","","37.52049821","126.9911132","센터 1층","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 용산구청","02-2199-7100","2021-09-15","3020000","2022-02-14 14:37:28.0"
"국립중앙박물관","서울특별시","용산구","11170","서울특별시 용산구 서빙고로 137","","37.52470233","126.9777412","1층 상설전시관 물품보관소 옆","10:00","18:00","10:00","18:00","10:00","18:00","2","N","Y","국립중앙박물관","02-2077-9000","2021-09-15","3020000","2022-02-14 14:37:28.0"
"한강로동 주민센터","서울특별시","용산구","11170","서울특별시 용산구 한강대로38길 28","","37.52814224","126.9692281","한강로동 주민센터 1층","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","한강로동주민센터","02-2199-8560","2021-09-15","3020000","2022-02-14 14:37:28.0"
"서울역","서울특별시","용산구","11170","서울특별시 용산구 한강대로 405","","37.55483769","126.9717341","2층 맞이방","06:00","23:30","06:00","23:30","06:00","23:30","2","N","Y","서울역","1544-7788","2021-09-15","3020000","2022-02-14 14:37:28.0"
"서울특별시 용산역","서울특별시","용산구","11170","서울특별시 용산구 한강대로 23길 55","","37.5297736","126.9647427","3층 1호선 출구","06:00","23:30","06:00","23:30","06:00","23:30","2","N","Y","용산역","1544-7788","2021-09-15","3020000","2022-02-14 14:37:28.0"
"남영역","서울특별시","용산구","11170","서울특별시 용산구 한강대로 77길 25","","37.54056577","126.9713321","1층 남영역 맞이방","06:00","23:30","06:00","23:30","06:00","23:30","2","N","Y","남영역","1544-7788","2021-09-15","3020000","2022-02-14 14:37:28.0"
"효창공원앞역(경의중앙선)","서울특별시","용산구","11170","서울특별시 용산구 백범로 지하 287","","37.53933395","126.9613166","지하 1층 효창공원역 맞이방","06:00","23:30","06:00","23:30","06:00","23:30","2","N","Y","효창공원역","02-2199-7100","2021-09-15","3020000","2022-02-14 14:37:28.0"
"이촌역(경의중앙선)","서울특별시","용산구","11170","서울특별시 용산구 서빙고 83","","37.5224803","126.9716268","지하 1층 이촌역 맞이방","06:00","23:30","06:00","23:30","06:00","23:30","2","N","Y","이촌역","1544-7788","2021-09-15","3020000","2022-02-14 14:37:28.0"
"서빙고역","서울특별시","용산구","11170","서울특별시 용산구 서빙고로 238","","37.51995392","126.9900486","2층 서빙고역 맞이방 통로","06:00","23:30","06:00","23:30","06:00","23:30","2","N","Y","서빙고역","1544-7788","2021-09-15","3020000","2022-02-14 14:37:28.0"
"한남역","서울특별시","용산구","11170","서울특별시 용산구 독서당로6길 12-13","","37.52918752","127.0082497","1층 한남역 맞이방","06:00","23:30","06:00","23:30","06:00","23:30","2","N","Y","한남역","1544-7788","2021-09-15","3020000","2022-02-14 14:37:28.0"
"성북장애인복지관","서울특별시","성북구","11290","서울특별시 성북구 화랑로130","서울특별시 성북구 하월곡동 11-11","37.6045987070","127.0457199398","복지관 (지하1층 1층 입구 4층)","09:00","18:00","00:00","00:00","00:00","00:00","4","N","Y","성북장애인복지관","02-915-9200","2021-09-09","3070000","2022-02-14 14:37:28.0"
"성북구청","서울특별시","성북구","11291","서울특별시 성북구 보문로 168","서울특별시 성북구 삼선동5가 411","37.5894562819","127.0168495535","1층 입구","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","성북구청","02-2241-2517","2021-09-09","3070000","2022-02-14 14:37:28.0"
"종암경찰서","서울특별시","성북구","11292","서울특별시 성북구 종암로 135","서울특별시 성북구 종암동 3-1260","37.6023479892","127.0322085100","1층 입구","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","종암경찰서","182","2021-09-09","3070000","2022-02-14 14:37:28.0"
"한성대역","서울특별시","성북구","11293","서울특별시 성북구 삼선교로 1","서울특별시 성북구 삼선동1가 14","37.5883948842","127.0059503334","B1 고객안내센터 앞","06:30","23:00","06:30","23:00","06:30","23:00","2","N","Y","한성대역","02-6110-4191","2021-09-09","3070000","2022-02-14 14:37:28.0"
"보문역","서울특별시","성북구","11294","서울특별시 성북구 보문로 116","서울특별시 성북구 보문동1가 127-1","37.5855493513","127.0194892776","B2 6호선 대합실)","06:30","23:00","06:30","23:00","06:30","23:00","2","N","Y","보문역","02-6311-6381","2021-09-09","3070000","2022-02-14 14:37:28.0"
"돌곶이역","서울특별시","성북구","11295","서울특별시 성북구 화랑로 243","서울특별시 성북구 장위동 349-8","","","B1 편의점 옆)","06:30","23:00","06:30","23:00","06:30","23:00","2","N","Y","돌곶이역","02-6311-6431","2021-09-09","3070000","2022-02-14 14:37:28.0"
"월곡역","서울특별시","성북구","11296","서울특별시 성북구 장월로 1길 91","서울특별시 성북구 하월곡동 35-1","37.6048926131","127.0438114343","B2 승강기 앞)","06:30","23:00","06:30","23:00","06:30","23:00","2","N","Y","월곡역","02-6311-6411","2021-09-09","3070000","2022-02-14 14:37:28.0"
"성북장애인자립생활센터","서울특별시","성북구","11297","서울특별시 성북구 보문로 134","서울특별시 성북구 보문동1가 37","37.5869754658","127.0187924341","2층","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","성북장애인자립생활센터","02-921-7232","2021-09-09","3070000","2022-02-14 14:37:28.0"
"성북장애인보장구수리센터","서울특별시","성북구","11298","서울특별시 성북구 보문로 133","서울특별시 성북구 보문동2가 41","37.5867552293","127.0184353937","1층 입구","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","성북장애인보장구수리센터","02-921-7230","2021-09-09","3070000","2022-02-14 14:37:28.0"
"월곡종합사회복지관","서울특별시","성북구","11299","서울특별시 성북구 오패산로 16길 23","서울특별시 성북구 하월곡동 222-5","37.6089104944","127.0375128873","1층 입구","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","월곡종합사회복지관","02-911-5511","2021-09-09","3070000","2022-02-14 14:37:28.0"
"성북구지체장애인협회","서울특별시","성북구","11300","서울특별시 성북구 화랑로 13가길 100","서울특별시 성북구 하월곡동 산2-1","37.6106462838","127.0404131369","1층 입구","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","성북구지체장애인협회","02-914-2070","2021-09-09","3070000","2022-02-14 14:37:28.0"
"길음종합사회복지관","서울특별시","성북구","11301","서울특별시 성북구 삼양로 8가길 32","서울특별시 성북구 길음동 1061","37.6088146559","127.0247800128","1층 입구","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","길음종합사회복지관","02-985-0161","2021-09-09","3070000","2022-02-14 14:37:28.0"
"성북구장애인단체연합회","서울특별시","성북구","11302","서울특별시 성북구 오패산로3길 95","서울특별시 성북구 하월곡동 96-76","37.6072558287","127.0339359041","1층 입구","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","성북구장애인단체연합회","02-912-5990","2021-09-09","3070000","2022-02-14 14:37:28.0"
"디에스케어","서울특별시","노원구","11350","서울특별시 노원구 덕릉로115다길 40","서울특별시 노원구 상계동 1321","37.668622","127.0782058","디에스케어(전동보장구 수리업체)","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"장애인복지과 입구","서울특별시","노원구","11350","서울특별시 노원구 노해로 437","서울특별시 노원구 상계동 701-1","37.65451904","127.0562972","노원구청 1층 장애인복지과 입구","09:00","18:00","09:00","18:00","00:00","00:00","2","N","N","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"한국뇌성마비장애인협회 청우","서울특별시","노원구","11350","서울특별시 노원구 덕릉로 805","서울특별시 노원구 상계동 110-9","37.6688613","127.079759","상계뉴타운 프라자 한국뇌성마비장애인협회 청우","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"노원장애인 자립생활센터 어울림","서울특별시","노원구","11350","서울특별시 노원구 상계로5길 12","서울특별시 노원구 상계동 1305","37.6573526","127.064261","동양메이저 상가 노원장애인 자립생활센터 어울림","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"노원중증장애인 독립생활센터","서울특별시","노원구","11350","서울특별시 한글비석로15길 48 현대종합상사","서울특별시 노원구 중계동 434-2 현대종합상가","37.656252","127.071319","현대종합상가 6층 노원중증장애인 독립생활센터","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"뇌성마비복지관","서울특별시","노원구","11350","서울특별시 노원구 덕릉로70가길 96","서울특별시 노원구 상계동 771","37.6424435","127.0565811","서울특별시립 뇌성마비복지관","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"북부장애인종합복지관","서울특별시","노원구","11350","서울특별시 노원구 덕릉로70가길 92","서울특별시 노원구 상계동 771","37.642537","127.0569697","서울특별시립 북부장애인종합복지관(4대)","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"성민복지관","서울특별시","노원구","11350","서울특별시 노원구 노원로32길 30-3","서울특별시 노원구 상계동 321-9 성민복지관","37.6556883","127.069355","성민복지관(2대)","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"지체장애인협회노원구지회","서울특별시","노원구","11350","서울특별시 노원구 월계로 370","서울특별시 노원구 월계동 321-2 희성프라자","37.6309771","127.061026","희성프라자 613호 지체장애인협회노원구지회","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","N","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"장애인지원센터 디딤돌","서울특별시","노원구","11350","서울특별시 노원구 상계로5길 32","서울특별시 노원구 상계동 357-2","37.65711525","127.0628425","금호프라자 1층(노원역 근처)","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","N","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"7호선 중계역","서울특별시","노원구","11350","서울특별시 노원구 동일로 지하 1308-1","서울특별시 노원구 중계동 503-3","37.6448902","127.064246","중계역(지하2층 비상게이트 맞은편)","09:00","22:00","09:00","22:00","09:00","22:00","2","Y","N","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"7호선 하계역","서울특별시","노원구","11350","서울특별시 노원구 동일로 지하 1196","서울특별시 노원구 하계동 273-5","37.6364513","127.067987","하계역(지하1층-승강장 엘리베이터 앞)","09:00","22:00","09:00","22:00","09:00","22:00","2","Y","N","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"7호선 노원역","서울특별시","노원구","11350","서울특별시 노원구 상계로 69-1 지하","서울특별시 노원구 상계동 602-5","37.6562685","127.0626376","노원역(지하1층 4번출구 왼쪽)","09:00","22:00","09:00","22:00","09:00","22:00","2","Y","N","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"노원구민의 전당","서울특별시","노원구","11350","서울특별시 노원구 동일로 1229","서울특별시 노원구 중계동 507-3","37.6389606","127.066344","노원구민의 전당(노원서비스공단)","09:00","22:00","09:00","22:00","09:00","22:00","2","Y","N","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"경춘선숲길 방문자센터","서울특별시","노원구","11350","서울특별시 노원구 공릉동 706","서울특별시 노원구 공릉동 706","37.631323","127.070091","경춘선숲길 방문자센터 옆","09:00","22:00","09:00","22:00","09:00","22:00","2","Y","Y","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
"화랑대 철도공원","서울특별시","노원구","11350","서울특별시 노원구 공릉동 29-16","서울특별시 노원구 공릉동 29-16","37.6253637","127.090408","화랑대 철도공원","09:00","22:00","09:00","22:00","09:00","22:00","2","Y","Y","서울특별시 노원구","02-2116-3329","2021-09-13","3100000","2022-02-14 14:37:28.0"
