"주차장코드","주차장명","주소","주차장 종류","주차장 종류명","운영구분","운영구분명","전화번호","총 주자면","유무료구분","유무료구분명","야간무료개방여부","야간무료개방여부명","평일 운영 시작시각(HHMM)","평일 운영 종료시각(HHMM)","주말 운영 시작시각(HHMM)","주말 운영 종료시각(HHMM)","공휴일 운영 시작시각(HHMM)","공휴일 운영 종료시각(HHMM)","최종데이터 동기화 시간","토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명","월 정기권 금액","노상 주차장 관리그룹번호","기본 주차 요금","기본 주차 시간(분 단위)","추가 단위 요금","추가 단위 시간(분 단위)","버스 기본 주차 요금","버스 기본 주차 시간(분 단위)","버스 추가 단위 시간(분 단위)","버스 추가 단위 요금","일 최대 요금","주차장 위치 좌표 위도","주차장 위치 좌표 경도"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57757826","127.04429995"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.5775673","127.04432393"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.577398","127.04462576"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57748598","127.04447237"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57734175","127.04472194"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57747265","127.04449564"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57754183","127.04437209"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57740258","127.04460118"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57758831","127.0442753"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57749901","127.04444908"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57760165","127.04425171"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57736403","127.04468166"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57738883","127.04464583"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57762576","127.0442028"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57737274","127.04466111"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57741867","127.04458593"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57752788","127.04439617"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57743669","127.04454509"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57745063","127.04452698"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57755359","127.04434657"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57761479","127.04422763"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57751468","127.04442006"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57732923","127.0447429"
"1235254","남산파출소 공영주차장(시)","중구 회현동1가 1-16","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2021-10-08 09:37:26","N","무료","Y","유료","","1114012100009","330","5","330","5","0","0","0","0","","37.55495673","126.98173292"
"1235254","남산파출소 공영주차장(시)","중구 회현동1가 1-16","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2021-10-08 09:37:26","N","무료","Y","유료","","1114012100009","330","5","330","5","0","0","0","0","","37.55494601","126.9817622"
"1235254","남산파출소 공영주차장(시)","중구 회현동1가 1-16","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2021-10-08 09:37:26","N","무료","Y","유료","","1114012100009","330","5","330","5","0","0","0","0","","37.55493529","126.98179131"
"1235254","남산파출소 공영주차장(시)","중구 회현동1가 1-16","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2021-10-08 09:37:26","N","무료","Y","유료","","1114012100009","330","5","330","5","0","0","0","0","","37.55491405","126.98184962"
"1235254","남산파출소 공영주차장(시)","중구 회현동1가 1-16","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2021-10-08 09:37:26","N","무료","Y","유료","","1114012100009","330","5","330","5","0","0","0","0","","37.55488189","126.98193712"
"1235254","남산파출소 공영주차장(시)","중구 회현동1가 1-16","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2021-10-08 09:37:26","N","무료","Y","유료","","1114012100009","330","5","330","5","0","0","0","0","","37.55489261","126.98190801"
"1235254","남산파출소 공영주차장(시)","중구 회현동1가 1-16","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2021-10-08 09:37:26","N","무료","Y","유료","","1114012100009","330","5","330","5","0","0","0","0","","37.55487116","126.98196641"
"1235254","남산파출소 공영주차장(시)","중구 회현동1가 1-16","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2021-10-08 09:37:26","N","무료","Y","유료","","1114012100009","330","5","330","5","0","0","0","0","","37.55484972","126.9820248"
"1235254","남산파출소 공영주차장(시)","중구 회현동1가 1-16","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2021-10-08 09:37:26","N","무료","Y","유료","","1114012100009","330","5","330","5","0","0","0","0","","37.55482813","126.9820832"
"1235254","남산파출소 공영주차장(시)","중구 회현동1가 1-16","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2021-10-08 09:37:26","N","무료","Y","유료","","1114012100009","330","5","330","5","0","0","0","0","","37.55486044","126.98199552"
"1235254","남산파출소 공영주차장(시)","중구 회현동1가 1-16","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2021-10-08 09:37:26","N","무료","Y","유료","","1114012100009","330","5","330","5","0","0","0","0","","37.55492478","126.98182033"
"1235254","남산파출소 공영주차장(시)","중구 회현동1가 1-16","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2021-10-08 09:37:26","N","무료","Y","유료","","1114012100009","330","5","330","5","0","0","0","0","","37.55490333","126.98187872"
"1235254","남산파출소 공영주차장(시)","중구 회현동1가 1-16","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2021-10-08 09:37:26","N","무료","Y","유료","","1114012100009","330","5","330","5","0","0","0","0","","37.55483885","126.98205391"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67066482","127.0806057"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67037141","127.08081155"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67042965","127.0805287"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.6704423","127.08045342"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67038594","127.08074343"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67040164","127.08067402"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67069961","127.08038906"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67045495","127.08037814"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67041699","127.08060398"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.6706418","127.08071796"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67064951","127.08068025"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67067242","127.08056886"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67068814","127.0804932"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67044396","127.0804189"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67070279","127.08041836"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67067356","127.08053556"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.6703781","127.08077813"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67042332","127.08056634"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67043597","127.08049106"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67039379","127.08070872"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.6704095","127.08063935"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67069546","127.08045578"
"1238860","당고개위 공영주차장(시)","노원구 상계동 111-568","NS","노상 주차장","1","시간제 주차장","02-1688-1054","1","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-11-11 10:34:30","N","무료","N","무료","0","1135010500056","260","5","260","5","0","0","0","0","0","37.67065711","127.08064341"
"1247659","구의3동 공영주차장(구)","광진구 구의동 219-15","NW","노외 주차장","1","시간제 주차장","02-2049-4596","159","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2021-09-13 17:12:24","N","무료","N","무료","0","","150","5","0","0","0","0","0","0","","37.5391245","127.09138968"
"1247661","광진광장 공영주차장(구)","광진구 군자동 374-9","NW","노외 주차장","1","시간제 주차장","02-2049-4596","36","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2021-09-13 17:26:12","N","무료","N","무료","0","","250","5","0","0","0","0","0","0","100000","37.54770648","127.07326955"
"1247678","망원1-2 공영주차장(구)","마포구 망원동 403-2","NW","노외 주차장","1","시간제 주차장","02-300-5052","148","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-01-27 17:54:40","N","무료","N","무료","140000","","200","5","0","0","0","0","0","0","0","37.55558459","126.90587312"
"1247683","덕원주차장(구)","동대문구 장안동 458-8","NW","노외 주차장","1","시간제 주차장","02-6240-0150","77","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:37:30","N","무료","N","무료","110000","","1000","30","300","10","0","0","0","0","15000","37.5623712","127.06876256"
"1277160","당산노외 공영주차장(시)","영등포구 당산동3가 2-1","NW","노외 주차장","1","시간제 주차장","","237","Y","유료","N","야간 미개방","0800","2100","0800","2100","0800","2100","2021-10-07 15:38:56","N","무료","N","무료","140000","","260","5","260","5","0","0","0","0","0","37.52625065","126.89945376"
"1277163","명일동 공영주차장(시)","강동구 명일동 47-9","NW","노외 주차장","1","시간제 주차장","","11","Y","유료","N","야간 미개방","0900","2000","0900","1500","0000","0000","2021-10-07 16:37:38","N","무료","Y","유료","162000","","220","5","220","5","0","0","0","0","","37.55361065","127.15591212"
"1364466","도곡로21길 7 공영주차장(구)","강남구 역삼동 795-25","NW","노외 주차장","1","시간제 주차장","02-2176-0920","75","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-07-07 18:10:18","N","무료","N","무료","280000","","400","5","400","5","0","0","0","0","","37.49250002","127.0388068"
"1366394","개봉1동마을공동주차장(구)","구로구 개봉동 416-2","NW","노외 주차장","1","시간제 주차장","","56","Y","유료","N","야간 미개방","0900","1800","0000","0000","0000","0000","2019-06-10 09:35:56","Y","유료","Y","유료","50000","","50","5","50","5","0","0","0","0","0","37.50455714","126.84608459"
"1366395","개봉1동 노외주차장(구)","구로구 개봉동 134-8","NW","노외 주차장","1","시간제 주차장","","134","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-12-28 13:24:26","N","무료","N","무료","75000","","100","5","100","5","0","0","0","0","0","37.50001376","126.8510351"
"1366527","동작대교 공영주차장(시)","용산구 용산동6가 69-11","NW","노외 주차장","1","시간제 주차장","","88","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-11-17 15:01:25","N","무료","N","무료","70000","","120","5","120","5","0","0","0","0","","37.518577","126.983287"
"1366575","망원동 공영주차장(시)","마포구 망원동 478-10","NW","노외 주차장","1","시간제 주차장","02-300-5053","21","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2021-12-16 10:42:25","N","무료","N","무료","","","150","5","","","0","0","0","0","","37.55955925","126.90660108"
"1366576","개화역 공영주차장(시)","강서구 개화동 664-0","NW","노외 주차장","1","시간제 주차장","02-2290-6312","483","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2021-10-06 17:58:43","N","무료","N","무료","91000","","170","5","170","5","0","0","0","0","0","37.57798421","126.79821222"
"1366593","구로디지털단지역(상) 공영주차장(시)","관악구 신림동 1677-5","NW","노외 주차장","1","시간제 주차장","","31","Y","유료","N","야간 미개방","0800","2100","0800","2100","0800","2100","2021-10-07 15:32:46","N","무료","N","무료","140000","","260","5","260","5","0","0","0","0","0","37.48481135","126.90323392"
"1366794","미아동공영주차장(구)","강북구 미아동 222-100","NW","노외 주차장","1","시간제 주차장","02-944-3048","155","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:35:43","N","무료","N","무료","80000","","150","5","150","5","0","0","0","0","10000","37.6285679","127.02235964"
