시설명,담당구,주차가능면,주소,위도,경도,시설분류,세부분류,장애인 주차칸 여부
김포공항 국제선 주차장,강서구,1000,강서구 방화동 886-9000 ,37.564851,126.802117,주차장,공영주차장,가능
왕십리 민자역사 비트플렉스몰 ,성동구,1000,성동구 행당동 168-151 ,37.562091,127.037925,주차장,공영주차장,가능
누리꿈스퀘어 주차장,마포구,969,마포구 상암동 1605-0,37.57937736,126.8902911,주차장,공영주차장,가능
고척공구상가,구로구,935,구로구 고척동 103-4 ,37.49977148,126.8606611,주차장,공영주차장,가능
국립중앙박물관,용산구,934,용산구 용산동6가 168-6 ,37.523233,126.977349,주차장,공영주차장,가능
공유) 서울공고(95~99구간)(구),동작구,5,동작구 대방동 466-10,37.5004007,126.922199,주차장,공영주차장,불가능
공유) 장승배기로A(구),동작구,5,동작구 상도동 201-38,37.50221,126.940515,주차장,공영주차장,불가능
공유) 장승배기로B(구),동작구,5,동작구 상도동 184-9,37.50236875,126.9403608,주차장,공영주차장,불가능
탄천공영주차장(구),강남구,924,강남구 삼성동 171-0,37.51441586,127.0662917,주차장,공영주차장,가능
NC백화점 신구로점[구로역 4호점],구로구,900,구로구 구로동 573-0 ,37.50114707,126.8827651,주차장,공영주차장,가능
현대시티아울렛 가산점[가산디지털단지역 11호점],금천구,900,금천구 가산동 60-8 ,37.477607,126.889162,주차장,공영주차장,가능
양재역환승주차장(민영),서초구,894,서초구 양재동 23-0,37.48352522,127.034342,주차장,민영주차장,불가능
중소기업중앙회 앞 노상주차장(구),영등포구,5,영등포구 여의도동 1-5,37.52840888,126.9216278,주차장,공영주차장,불가능
센터필드 주차장,강남구,889,강남구 역삼동 676-0 ,37.50351,127.041761,주차장,공영주차장,가능
장충단로(한남광장) 관광버스전용 주차장(시),용산구,5,용산구 한남동 9-19,37.54738352,127.002699,주차장,공영주차장,불가능
삼성전자 서초사옥 주차장,서초구,888,서초구 서초동 1320-10,37.49669824,127.0268683,주차장,공영주차장,가능
공유) 창신동 49번~53번(창삼 제1공영주차장)(구),종로구,5,종로구 창신동 23-348,37.575867,127.012512,주차장,공영주차장,불가능
훈련원공원 공영주차장(시),중구,873,중구 을지로5가 40-3,37.56740014,127.0035206,주차장,공영주차장,가능
탄천(구),송파구,859,송파구 잠실동 1082-1,37.51248895,127.0692615,주차장,공영주차장,가능
NC백화점 불광점 주차장,은평구,851,은평구 대조동 240-0 ,37.60972464,126.9289231,주차장,공영주차장,가능
경부고속철도서울민자역사,중구,822,중구 봉래동2가 122-23 ,37.55584844,126.9706563,주차장,공영주차장,가능
영등포 SK리더스뷰 주차장,영등포구,821,영등포구 문래동3가 55-16 ,37.51761361,126.9000156,주차장,공영주차장,가능
금천 롯데 캐슬 4차,금천구,802,금천구 독산동 441-6 ,37.46113666,126.8970668,주차장,공영주차장,가능
청계6(청평화) 공영주차장(시),중구,5,중구 신당동 217-91 0,37.56959839,127.0150174,주차장,공영주차장,불가능
면목천로 거주자우선주차장A(구),중랑구,5,중랑구 면목동 1503-6,37.5909571,127.0855012,주차장,공영주차장,불가능
면목천로 거주자우선주차장B(구),중랑구,5,중랑구 면목동 1503-6,37.59012685,127.0850569,주차장,공영주차장,불가능
면목천로 거주자우선주차장C(구),중랑구,5,중랑구 면목동 1503-6,37.59014825,127.0851559,주차장,공영주차장,불가능
서울의료원,중랑구,801,중랑구 신내동 316-0 ,37.6131868,127.098124,주차장,공영주차장,가능
여의도한강3주차장[서강대교 남단],영등포구,800,영등포구 여의도동 83-6 ,37.53240356,126.924436,주차장,공영주차장,가능
도산대로,강남구,6,도산대로 434 ~ 도산대로 442,37.5235228,127.0436635,주차장,공영주차장,불가능
홈플러스 시흥점,금천구,799,금천구 시흥동 992-47 ,37.4518909,126.9008073,주차장,공영주차장,가능
언주로,강남구,6,개포로 303 ~ 개포로 303,37.4826628,127.0531681,주차장,공영주차장,불가능
송중동(임시)공영주차장(구),강북구,6,강북구 미아동 860-123,37.61105539,127.0334978,주차장,공영주차장,불가능
송중동주민센타,강북구,6,강북구 미아동 138-11 ,37.6183441,127.0299786,주차장,공영주차장,불가능
LG트윈타워 주차장,영등포구,795,영등포구 여의도동 20-0,37.52785115,126.9292704,주차장,공영주차장,가능
현대백화점 천호점,강동구,764,강동구 천호동 455-8 ,37.53886562,127.1244434,주차장,공영주차장,가능
서울대학교,관악구,757,관악구 신림동 56-1,37.460196,126.953374,주차장,공영주차장,가능
방화대로,강서구,6,방화동 217-140 ~ 방화동 608-2,37.56607963,126.8163502,주차장,공영주차장,불가능
은천로,관악구,6,은천로 40 ~ 은천로 46,37.48609015,126.9400595,주차장,공영주차장,불가능
전쟁기념관,용산구,754,용산구 용산동1가 8-0 ,37.53628114,126.9770317,주차장,공영주차장,가능
그랑서울 주차장,종로구,754,종로구 청진동 70-0 ,37.57107565,126.9813824,주차장,공영주차장,가능
강남세브란스병원,강남구,735,강남구 도곡동 146-92 ,37.49263467,127.0466089,주차장,공영주차장,가능
"잠원1, 2, 3, 4, 5, 6주차장",강남구,735,강남구 압구정동 386-0 ,37.5275464,127.0189562,주차장,공영주차장,가능
전문건설회관 주차장,동작구,725,동작구 신대방동 395-70 ,37.492012,126.924303,주차장,공영주차장,가능
천호복합 상업시설,강동구,719,강동구 천호동 42-0 ,37.54569237,127.1422741,주차장,공영주차장,가능
디디엠씨(DDMC) 주차장,마포구,716,마포구 상암동 1610-0,37.57840939,126.8929891,주차장,공영주차장,가능
KT&G타워 주차장,강남구,713,강남구 대치동 1002-0,37.50657206,127.0653736,주차장,공영주차장,가능
신라호텔,중구,712,중구 장충동2가 202-0,37.55672311,127.0063359,주차장,공영주차장,가능
홈플러스 가양점 부설주차장,강서구,706,강서구 가양동 18-24 ,37.56429661,126.850094,주차장,공영주차장,가능
청계5(동호로_북) 공영주차장(시),종로구,6,종로구 종로5가 458-2,37.57028463,127.0021223,주차장,공영주차장,불가능
아모레퍼시픽 본사 주차장,용산구,698,용산구 한강로2가 424-0 ,37.52917153,126.9684314,주차장,공영주차장,가능
현대백화점 미아점 주차장,성북구,692,성북구 길음동 20-1 ,37.60838767,127.028771,주차장,공영주차장,가능
용산 베르디움 프렌즈,용산구,687,용산구 한강로2가 2-350 ,37.535511,126.971583,주차장,공영주차장,가능
광림교회 사회봉사관 주차장,강남구,686,강남구 신사동 568-2 ,37.52388961,127.025168,주차장,공영주차장,가능
롯데하이마트 VIC마켓영등포점 주차장,영등포구,685,영등포구 영등포동8가 62-1,37.52782182,126.9046309,주차장,공영주차장,가능
건국대학교병원 주차장,광진구,659,광진구 화양동 4-12 ,37.54043859,127.0721275,주차장,공영주차장,가능
군인공제회 회관 부설주차장,강남구,656,강남구 도곡동 467-12 ,37.48927764,127.0528191,주차장,공영주차장,가능
NC강서백화점,강서구,652,강서구 등촌동 689-0 ,37.55998779,126.8403779,주차장,공영주차장,가능
이마트 양재점[양재시민의숲역 2호점],서초구,649,서초구 양재동 215-0 ,37.46331731,127.0368707,주차장,공영주차장,가능
천호2동제2(구),강동구,7,강동구 천호동 431-2,37.5401331,127.1230805,주차장,공영주차장,불가능
수유제2동 주민센타,강북구,7,강북구 수유동 730-1 ,37.64463618,127.0198988,주차장,공영주차장,불가능
대우한강베네시티,강동구,640,강동구 천호동 425-5 ,37.54058109,127.124922,주차장,공영주차장,가능
엠비씨 씨앤아이 파크엠(MBC C&I PARK M),마포구,631,마포구 상암동 1615-0 ,37.57858093,126.8942737,주차장,공영주차장,가능
수협 외발산동 공판장,강서구,630,강서구 외발산동 424-0 ,37.55266874,126.8188034,주차장,공영주차장,가능
서울파이낸스센터,중구,626,중구 태평로1가 84-0 ,37.56842391,126.9778169,주차장,공영주차장,가능
중소기업유통센터,양천구,622,양천구 목동 917-6 ,37.52937002,126.8761238,주차장,공영주차장,가능
현대백화점 현대시티아울렛 동대문점,중구,618,중구 을지로6가 17-2 ,37.56859457,127.0077593,주차장,공영주차장,가능
파인에비뉴 B동 주차장,중구,604,중구 을지로2가 203-0 ,37.56572319,126.9887257,주차장,공영주차장,가능
빅마켓 금천점,금천구,601,금천구 독산동 295-10,37.47065964,126.8957755,주차장,공영주차장,가능
서울 SFLEX 주차장,마포구,598,마포구 상암동 1648-0 ,37.57564294,126.8900664,주차장,공영주차장,가능
공유) 성북구 도담도담 주차장(구),성북구,7,성북구 성북동 232-13,37.594584,126.993775,주차장,공영주차장,불가능
이마트 은평점[은평이마트점],은평구,598,은평구 응암동 89-21 ,37.60079507,126.9206623,주차장,공영주차장,가능
현대백화점 무역점,강남구,594,강남구 삼성동 159-7,37.50861623,127.05974,주차장,공영주차장,가능
한라시그마밸리 주차장,금천구,590,금천구 가산동 345-90,37.47300896,126.8811345,주차장,공영주차장,가능
마리오아울렛3관,금천구,588,금천구 가산동 60-20,37.4784765,126.8850159,주차장,공영주차장,가능
이마트구로점,구로구,579,구로구 구로동 188-26 ,37.48442521,126.8979203,주차장,공영주차장,가능
이마트 상봉점,중랑구,579,중랑구 망우동 506-1 ,37.59643854,127.0935185,주차장,공영주차장,가능
영남 공영주차장(시),영등포구,570,영등포구 영등포동4가 123-0,37.51947074,126.902609,주차장,공영주차장,가능
수서역북 공영주차장(시),강남구,569,강남구 수서동 735-0,37.48801285,127.09995,주차장,공영주차장,가능
다동쉼터 노상공영주차장(구),중구,7,중구 다동 46-0 0,37.56794535,126.9800734,주차장,공영주차장,불가능
청계6(신평화시장앞) 공영주차장(시),중구,7,중구 신당동 217-91 0,37.56957219,127.011496,주차장,공영주차장,불가능
숙선옹주로 5공영(구),중랑구,7,중랑구 묵동 113-3,37.61465437,127.0805087,주차장,공영주차장,불가능
용산주차빌딩 공영주차장(시),용산구,561,용산구 한강로2가 12-9,37.53436379,126.9654182,주차장,공영주차장,가능
KGIT 센터 주차장,마포구,555,마포구 상암동 1601-0 ,37.58009533,126.8890732,주차장,공영주차장,가능
퀸즈파크나인 주차장,강서구,552,강서구 마곡동 797-1,37.55929,126.835859,주차장,공영주차장,가능
마포농수산물시장 공영주차장[마포구청역 1호점],마포구,550,마포구 성산동 533-1 ,37.5651631,126.8979771,주차장,공영주차장,가능
에이스 하이엔드 타워 1차 부설주차장,구로구,544,구로구 구로동 235-2 ,37.48153894,126.8934581,주차장,공영주차장,가능
"난지공원1, 2, 3주차장",마포구,544,마포구 상암동 487-370 ,37.5613576,126.8872802,주차장,공영주차장,가능
공유) 등용로(구),동작구,8,동작구 대방동 23-2,37.51180971,126.931928,주차장,공영주차장,불가능
우리금융 상암센터 주차장,마포구,544,마포구 상암동 1585-0 ,37.58343533,126.8859814,주차장,공영주차장,가능
stx V-TOWER 주차장,금천구,533,금천구 가산동 371-37,37.47723596,126.8837601,주차장,공영주차장,가능
베뉴지웨딩,강서구,530,강서구 등촌동 678-14 ,37.56014634,126.8393227,주차장,공영주차장,가능
성북구 정릉동 485-5 ,성북구,8,성북구 정릉동 485-5 ,37.6026838,127.0115709,주차장,공영주차장,불가능
롯데백화점 강남점 주차장,강남구,523,강남구 도곡동 401-0 ,37.496953,127.053346,주차장,공영주차장,가능
SI타워 부설주차장,강남구,515,강남구 역삼동 679-4 ,37.50159648,127.0377486,주차장,공영주차장,가능
강동경희대학교병원,강동구,514,강동구 상일동 149-0 ,37.55292409,127.1574845,주차장,공영주차장,가능
하이파킹 서울의료원 강남분원 주차장,강남구,511,강남구 삼성동 171-1 ,37.514436,127.066308,주차장,공영주차장,가능
롯데백화점[미아점] 지하주차장,강북구,506,강북구 미아동 70-6,37.61417653,127.0305554,주차장,공영주차장,가능
밀리오레 주차장,중구,500,중구 을지로6가 18-185 ,37.56811,127.008579,주차장,공영주차장,가능
일이삼전자타운,구로구,496,구로구 고척동 73-3 ,37.49747916,126.86316,주차장,공영주차장,가능
롯데백화점 노원점(별관) 주차장,노원구,492,노원구 상계동 714-0 ,37.655348,127.061802,주차장,공영주차장,가능
하얏트호텔,용산구,492,용산구 한남동 747-7 ,37.53956462,126.9977143,주차장,공영주차장,가능
청소년회관 뒤 노상 공영주차장(구),중구,8,중구 수표동 50-1 0,37.56750928,126.9903312,주차장,공영주차장,불가능
훈련원공원 노상 공영주차창(구),중구,8,중구 을지로6가 1-42 0,37.56778859,127.0050926,주차장,공영주차장,불가능
동호로,중구,8,동호로 298 ~ 동호로 310,37.56102818,127.0029625,주차장,공영주차장,불가능
롯데캐슬골드,송파구,491,송파구 신천동 7-18 ,37.51449368,127.1007362,주차장,공영주차장,가능
롯데백화점 노원점(본관) 주차장,노원구,488,노원구 상계동 713-0 ,37.654954,127.06086,주차장,공영주차장,가능
CJ E&M 센터  주차장,마포구,484,마포구 상암동 1606-0,37.57853984,126.8915718,주차장,공영주차장,가능
대한서울상공회의소,중구,484,중구 남대문로4가 45-0 ,37.56060807,126.9738823,주차장,공영주차장,가능
트윈시티,용산구,482,용산구 동자동 56-0 ,37.55087376,126.9727694,주차장,공영주차장,가능
국립정신건강센터,광진구,481,광진구 중곡동 30-1 ,37.56511467,127.0850713,주차장,공영주차장,가능
유수지복개 주차장(민영),영등포구,480,영등포구 양평동3가 57-3,37.52900132,126.890164,주차장,민영주차장,불가능
한림대학교 강남성심병원,영등포구,477,영등포구 대림동 948-1 ,37.49327092,126.908833,주차장,공영주차장,가능
"잠실1, 2, 3, 4주차장",송파구,471,송파구 잠실동 1-1 ,37.517984,127.081214,주차장,공영주차장,가능
센트로폴리스 주차장,종로구,471,종로구 공평동 17-0 ,37.571631,126.983431,주차장,공영주차장,가능
OPUS1,구로구,469,구로구 구로동 611-26 ,37.50459265,126.8769108,주차장,공영주차장,가능
에이스하이엔드타워6차,금천구,467,금천구 가산동 60-25 ,37.47596567,126.8861156,주차장,공영주차장,가능
우림 2차,금천구,467,금천구 가산동 680-0 ,37.46684598,126.8883308,주차장,공영주차장,가능
헬리오시티상가 주차장,송파구,466,송파구 가락동 913-0 ,37.499804,127.111493,주차장,공영주차장,가능
여의도한강1주차장[63빌딩앞],영등포구,462,영등포구 여의도동 86-5 ,37.52217837,126.9397314,주차장,공영주차장,가능
서울스퀘어,중구,461,중구 남대문로5가 541-0,37.55546695,126.973875,주차장,공영주차장,가능
서울보증보험 주차장,종로구,456,종로구 연지동 136-74,37.57372385,127.0008764,주차장,공영주차장,가능
코오롱 디지털타워 빌란트 1차,구로구,454,구로구 구로동 222-7,37.48346092,126.8965406,주차장,공영주차장,가능
현대백화점 신촌점,서대문구,454,서대문구 창천동 30-33 ,37.55621008,126.935821,주차장,공영주차장,가능
DMC 이안상암2단지 주차장,마포구,446,마포구 상암동 1653-0 ,37.57708631,126.8914037,주차장,공영주차장,가능
한샘상암 주차장,마포구,444,마포구 상암동 1623-0 ,37.57612699,126.8986665,주차장,공영주차장,가능
홈플러스 면목점 주차장,중랑구,441,중랑구 면목동 168-2 ,37.580505,127.080645,주차장,공영주차장,가능
건설회관 주차장,강남구,437,강남구 논현동 71-2,37.51734694,127.0341222,주차장,공영주차장,가능
삼모 더 프라임 타워,관악구,437,관악구 신림동 1638-1 ,37.48224543,126.9289296,주차장,공영주차장,가능
시그니쳐타워 주차장,중구,436,중구 수표동 99-0,37.56753601,126.9884932,주차장,공영주차장,가능
퍼시픽타워 주차장,중구,435,중구 서소문동 135-0 ,37.56132919,126.9730465,주차장,공영주차장,가능
한화빌딩 주차장,중구,433,중구 소공동 110-0 ,37.56418725,126.9785844,주차장,공영주차장,가능
한화생명 주차타워 주차장,중구,433,중구 태평로2가 43-0,37.56426841,126.977654,주차장,공영주차장,가능
난지천공원,마포구,431,마포구 상암동 1538-0 ,37.56854673,126.8913724,주차장,공영주차장,가능
신길교회 주차장,영등포구,428,영등포구 신길동 63-3 ,37.51513852,126.919733,주차장,공영주차장,가능
하이파킹 서울시티타워 주차장,중구,427,중구 남대문로5가 581-0 ,37.55427247,126.9740057,주차장,공영주차장,가능
한마음주차장(구),양천구,426,양천구 목동 914-5,37.53067739,126.8778804,주차장,공영주차장,가능
GS타임즈 이레빌딩 주차장,영등포구,420,영등포구 양평동4가 2-0 ,37.533786,126.896981,주차장,공영주차장,가능
홍익대학교 대학로캠퍼스 주차장,종로구,418,종로구 연건동 128-8 ,37.57652694,127.0014734,주차장,공영주차장,가능
대우건설 ,종로구,417,종로구 신문로1가 57-0 ,37.57064124,126.9729768,주차장,공영주차장,가능
마곡GMG타워 주차장,강서구,416,강서구 마곡동 773-2,37.560397,126.82904,주차장,공영주차장,가능
교보생명 본사사옥[광화문 5호점] ,종로구,412,종로구 종로1가 1-0 ,37.57061469,126.9780791,주차장,공영주차장,가능
현대그룹 빌딩 주차장,종로구,410,종로구 연지동 1-7,37.57504206,127.0005406,주차장,공영주차장,가능
글라스타워빌딩 부설주차장,강남구,405,강남구 대치동 946-8 ,37.50812699,127.0628643,주차장,공영주차장,가능
북서울꿈의숲,강북구,402,강북구 번동 28-6 ,37.621314,127.04511,주차장,공영주차장,가능
힐스테이트에코마곡역 주차장,강서구,400,강서구 마곡동 773-0 ,37.560231,126.827436,주차장,공영주차장,가능
뉴코아아울렛 강남점 주차장,서초구,400,서초구 잠원동 70-2,37.50940228,127.0073323,주차장,공영주차장,가능
뉴존 주차장,중구,400,중구 신당동 200-5 ,37.566956,127.013111,주차장,공영주차장,가능
헬로우APM 주차장,중구,400,중구 을지로6가 18-35,37.56748983,127.0081595,주차장,공영주차장,가능
코오롱디지털타워 1차 주차장,성동구,399,"성동구 성수동2가 308-4 308-4외 2번지 (308-7,333-62)",37.54259988,127.051993,주차장,공영주차장,가능
강남역 센트럴푸르지오시티 주차장,강남구,398,강남구 역삼동 825-20,37.49773156,127.0293135,주차장,공영주차장,가능
섬유센터빌딩 주차장,강남구,397,강남구 대치동 944-31,37.50746159,127.0606562,주차장,공영주차장,가능
교보타워[신논현역 1호점],서초구,395,서초구 서초동 1303-22,37.50375719,127.0241036,주차장,공영주차장,가능
한국경제신문사빌딩 주차장,중구,395,중구 중림동 441-0,37.56020357,126.9672846,주차장,공영주차장,가능
양화3주차장[양화선착장 앞],영등포구,393,영등포구 양화동 26-1,37.54489139,126.8928942,주차장,공영주차장,가능
어린이대공원(상상나라),광진구,391,광진구 능동 436-10 ,37.55093306,127.0764925,주차장,공영주차장,가능
공유) 구로중앙로28길(구),구로구,10,구로구 구로동 528-5,37.498878,126.88667,주차장,공영주차장,불가능
W-MALL 고객주차장,금천구,390,금천구 가산동 60-27 ,37.47731056,126.887678,주차장,공영주차장,가능
향군타워 주차장,송파구,389,송파구 신천동 7-29,37.51657725,127.101224,주차장,공영주차장,가능
SKT타워 주차장,중구,389,중구 을지로2가 11-0,37.56648162,126.9851199,주차장,공영주차장,가능
국립현대미술관 서울관,종로구,384,종로구 소격동 165-0 ,37.57951713,126.9805911,주차장,공영주차장,가능
영시티타워 N동 주차장,영등포구,379,영등포구 문래동3가 55-18 ,37.516404,126.899936,주차장,공영주차장,가능
당산역효성해링턴타워오피스텔 주차장,영등포구,378,영등포구 당산동5가 9-3 ,37.532719,126.9005,주차장,공영주차장,가능
