연번,시도,시군구,시설유형,법인현황,시설명,시설 주소,전화번호,팩스번호,종사자정원,종사자 현원,엑스(X)좌표,와이(Y)좌표
116,경기도,안산시,복지관,밀알복지재단,안산시장애인복지관,안산시 단원구 원초로 80(초지동),031-403-0078,031-405-1092,49,49,126.8065957,37.32594211
117,경기도,고양시,복지관,홀트아동복지회,고양시장애인종합복지관,고양시 일산서구 탄현로 139,031-929-1400,031-929-1429,42,42,126.7645743,37.703224
118,경기도,과천시,복지관,푸르메재단,과천시장애인복지관,과천시 문원로 40,02-2185-8000,02-3418-3500,41,41,127.0021182,37.42880558
119,경기도,구리시,복지관,사회복지법인휴먼복지회,구리시장애인종합복지관,구리시 이문안로 86-1,031-562-0068,031-562-0078,33,44,127.1410311,37.59155439
120,경기도,남양주시,복지관,재단법인대한성공회유지재단,남양주시장애인복지관,남양주시 홍유릉로 273-1 (금곡동),031-592-7150,031-592-8150,34,34,127.200168,37.62707415
121,경기도,오산시,복지관,세교복지재단,오산장애인종합복지관,오산시 수청로 192,031-290-8560,031-290-8589,22,22,127.0448401,37.17775508
122,경기도,시흥시,복지관,사회복지법인석왕사룸비니,시흥장애인종합복지관,시흥시 정왕대로 233번길 27-1,031-431-9114,031-431-9124,26,26,126.7410055,37.34766336
123,경기도,군포시,복지관,대한불교조계종사회복지재단,군포시장애인종합복지관,군포시 청백리길18,031-396-3108,031-398-7432,38,46,126.9332294,37.36258028
124,경기도,의왕시,복지관,대한불교조계종사회복지재단,희망나래장애인복지관,의왕시 오전로 27,031-467-7300,031-477-8511,39,36,126.9811462,37.34869314
125,경기도,하남시,복지관,한국장로교복지재단,하남시장애인복지관,하남시 미사강변남로56,031-794-2266,031-794-2261,36,35,127.1881083,37.55973744
126,경기도,용인시,복지관,한국지체장애인협회,용인시처인장애인복지관,용인시 처인구 경안천로 318,031-320-4800,031-320-4899,20,48,127.2193294,37.25945517
127,경기도,용인시,복지관,양지바른,용인시기흥장애인복지관,용인시 기흥구 용구대로 2469번길 94,031-895-3200,031-895-3203,48,48,127.1058308,37.31542256
128,경기도,용인시,복지관,지구촌사회복지재단,용인시수지장애인복지관,용인시 수지구 포은대로 435 수지복지센터 3층(풍덕천동),031-270-0200,031-270-0202,42,42,127.0977953,37.322273
129,경기도,파주시,복지관,사회복지법인주내자육원,파주시장애인종합복지관,파주시 법원읍 술이홀로 1333번길 63,031-959-7020,031-959-7022,30,32,126.8754659,37.88424423
130,경기도,이천시,복지관,사회복지법인승가원,이천시장애인종합복지관,이천시 남천로 31,031-637-6720,031-637-6725,33,33,127.4410579,37.2782606
131,경기도,안성시,복지관,,안성시장애인복지관,안성시 배티로1097 2층,031-678-5873,031-678-2189,8,8,127.2812614,37.00130439
132,경기도,김포시,복지관,인천가톨릭사회복지회,김포시장애인복지관,"김포시 김포한강3로 291(장기동, 장애인복지관)",070-7327-4100,,32,33,126.6587207,37.64174662
133,경기도,화성시,복지관,대한불교조계종사회복지재단,화성시아르딤복지관,화성시 향남읍 도이1길 104,031-5183-8927,031-5183-8995,42,42,126.9207471,37.13684465
134,경기도,화성시,복지관,지구촌사회복지법인,화성시동탄아르딤복지관,화성시 동탄대로10길 17-12,031-8077-0800,031-8077-0808,42,42,127.1078034,37.1767223
135,경기도,양주시,복지관,사회복지법인휴먼복지회,양주시장애인종합복지관,양주시 고삼로 43번길 29(삼숭동),031-928-4090,031-928-4140,29,29,127.0907194,37.80182091
136,경기도,여주시,복지관,대한불교조계종사회복지재단,여주시장애인복지관,여주시 청심로 105,031-883-2100,031-883-2130,31,31,127.6322743,37.2995342
137,경기도,가평군,복지관,가평군복지재단,가평군장애인복지관,가평군 석봉로191번길 65-19,031-581-9785,031-581-9779,21,20,127.5016428,37.83113084
138,경기도,양평군,복지관,대한불교조계종사회복지재단,양평군장애인복지관,양평군 양평읍 중앙로 111번길 36-1,031-773-9080,031-773-9093,31,32,127.5037881,37.49673119
139,강원도,도단위,복지관,사회복지법인기독교대한감리회사회복지재단,강원도장애인종합복지관,강원도 춘천시 사우로 27,033-255-2491,033-255-2494,49,51,127.7275772,37.90845502
140,강원도,춘천시,복지관,천주교춘천교구사회복지회,춘천시장애인종합복지관,강원도 춘천시 영서로 1925-21(석사동),033-262-0035,033-262-6341,35,35,127.7559861,37.84575132
141,강원도,원주시,복지관,마가렛사회복지회,원주시장애인종합복지관,강원도 원주시 동부순환로 9-8,033-766-5990,033-766-5994,34,34,127.9688589,37.31901189
142,강원도,강릉시,복지관,사회복지법인천주교춘천교구사회복지회,강릉시장애인종합복지관,강원도 강릉시 사천면 방동길68,033-643-1801,033-643-1805,25,26,128.8563723,37.81975782
143,강원도,태백시,복지관,홍이회,태백장애인종합복지관,강원도 태백시 금천길 179,033-582-7048,033-582-7047,24,22,128.9941715,37.092482
144,강원도,속초시,복지관,사회복지법인기독교대한감리회사회복지재단,강원도장애인종합복지관,강원도 속초시 청초호반로 201 (교동),033-255-2491,033-255-2494,49,51,128.5803655,38.19762061
145,강원도,홍천군,복지관,대한불교조계종사회복지재단,홍천군장애인복지관,강원도 홍천군 홍천읍 태학여내길 80-7,033-435-7031,033-435-7043,24,24,127.907477,37.71237692
146,강원도,횡성군,복지관,사회복지법인횡성사랑,횡성군장애인종합복지관,강원도 횡성군 횡성읍 한우로 223,033-345-7341,033-345-7338,23,23,127.9826658,37.49427021
147,강원도,평창군,복지관,사회복지법인기독교대한감리회사회복지재단,강원도장애인종합복지관,강원도 평창군 평창읍 평창중앙로 67,033-255-2491,033-255-2494,49,51,128.3948884,37.36876916
148,강원도,철원군,복지관,사회복지법인기독교대한감리회사회복지재단,강원도장애인종합복지관,강원도 철원군 서면 와수로136번길 5,033-255-2491,033-255-2494,49,51,127.4366333,38.23598966
149,충청북도,도,복지관,사회복지법인숭덕원,충청북도장애인종합복지관,충북 충주시 도장관주로 34-17,043-856-1100,043-856-1103,28,28,127.9211151,36.94978205
150,충청북도,청주시,복지관,사회복지법인천주교청주교구사회복지회,청주시장애인종합복지관,충청북도 청주시 흥덕구 무심서로 851,043-275-7411,043-275-7410,31,31,127.4655305,36.66266513
151,충청북도,청주시,복지관,사회복지법인천주교청주교구사회복지회,혜원장애인복지관,충청북도 청주시 서원구 남지로21번길 60 (미평동),043-295-2505,043-295-2502,32,32,127.4630498,36.60412039
152,충청북도,청주시,복지관,사회복지법인천주교청주교구사회복지회,재가순회서비스센터,충청북도 청주시 서원구 남지로21번길 60 (미평동),043-295-2505,043-295-2502,3,3,127.4630498,36.60412039
153,충청북도,제천시,복지관,대한불교조계종사회복지재단,제천시장애인종합복지관,충북 제천시 의림대로 242,043-652-0900,043-652-0904,23,23,128.2160855,37.1493406
154,충청북도,보은군,복지관,(재)청주교구천주교회유지재단,보은군노인장애인복지관,보은군 보은읍 뱃들4길 11-10,043-544-5446,043-544-5449,22,22,127.7239238,36.48836064
155,충청북도,옥천군,복지관,사회복지법인전석복지재단,옥천군장애인복지관,충북 옥천군 옥천읍 삼양로 8길 9,043-733-2500,043-731-6513,22,22,127.5698949,36.30460136
156,충청북도,영동군,복지관,사단법인한국지체장애인협회,영동군장애인복지관,충청북도 영동군 영동읍 반곡동길 17,043-743-1500,043-743-0142,20,19,127.7748654,36.16812993
157,충청북도,증평군,복지관,증평복지재단,증평군장애인복지관,충북 증평군 증평읍 보건복지로 56-1,043-835-4288,043-838-1292,20,18,127.5852469,36.77517819
158,충청북도,진천군,복지관,한국지체장애인협회,진천군장애인복지관,충청북도 진천군 진천읍 문화6안길 14-14,043-534-4455,043-534-4456,23,23,127.4361928,36.86313505
159,충청북도,괴산군,복지관,한국지체장애인협회,괴산군장애인복지관,괴산군 괴산읍 동진천길 61,043-832-0862,043-832-0863,20,20,127.7978756,36.80810692
160,충청북도,음성군,복지관,재단법인대한성공회유지재단,음성군장애인복지관,음성군 금왕읍 무극로309번길 43-6,043-883-2900,043-883-2913,25,24,127.5960642,36.99825658
161,충청북도,단양군,복지관,사회복지법인대한불교천태종복지재단,단양장애인복지관,충북 단양군 단양읍 별곡5길 5,043-420-6300,043-420-6301,20,20,128.3686492,36.98529553
162,충청남도,천안시,복지관,(사)충청남도시각장애인연합회,충청남도시각장애인복지관,충남 천안시 동남구 충절로 535-13,041-413-7000,041-413-7099,33,30,127.1793452,36.77763545
163,충청남도,천안시,복지관,대한성공회유지재단,천안시장애인종합복지관,천안시 서북구 두정고2길 51,041-551-0420,041-568-0420,31,31,127.1312024,36.83869059
