,고유번호,시설명,담당구,주소,연락처,홈페이지,추천수,주출입구 접근로 여부,장애인 전용 주차구역 여부,주출입구 높이차이 제거 여부,장애인용 승강기 여부,장애인 화장실 여부,장애인용 객실 이용가능 여부,장애인용 관람석 이용가능 여부,장애인 매표소 여부,시각장애인 편의서비스 여부,청각장애인 편의서비스 여부,안내 서비스 여부,휠체어 대여 여부,위도,경도
10,2730,매원초등학교,성북구,서울시 성북구 북악산로  870,02-922-6052,www.maewon.es.kr,0,N,Y,Y,N,Y,N,N,N,N,N,N,N,37.5976213,127.0189716
11,4079,새싹어린이집,성동구,서울시 성동구 용답중앙길 43,02-2215-3787,,0,Y,Y,N,N,N,N,N,N,N,N,N,N,37.5650673,127.0512704
12,3358,금옥여자고등학교,양천구,서울시 양천구 신정로 213,02-2086-7507,www.geumok.hs.kr,0,Y,N,Y,N,Y,N,N,N,N,N,N,N,37.5106219,126.8442611
13,2632,서울월곡초등학교,성북구,서울시 성북구 장월로3길 42,02-943-6055,www.swg.es.kr/,0,Y,N,Y,N,N,N,N,N,N,N,N,N,37.6098764,127.046418
14,4522,성심어린이집,강서구,서울시 강서구 화곡로13가길  5,02-2692-0900,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.541286,126.8344978
15,5515,동대문문화회관,동대문구,서울시 동대문구 답십리로  210-9,02-2241-9300,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N,37.5753938,127.0548231
16,5519,서울적십자병원(장례식장),종로구,서울시 종로구 새문안로 9,02-2002-8444,,0,N,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5671402,126.9670566
17,2959,전곡초등학교,동대문구,서울시 동대문구 전농로 172,02-2242-6548,www.jeongok.es.kr,0,Y,N,Y,Y,Y,N,N,N,N,N,N,N,37.58057549999999,127.0562692
18,3749,이튼학원,노원구,서울시 노원구 중계로 217,02-931-3303,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.6504634,127.0759752
19,3747,열강학원,양천구,서울시 양천구 신목로 34,02-2655-0603,,0,Y,N,Y,N,Y,N,N,N,N,N,N,N,37.518635,126.8739405
20,3392,용화여자고등학교,노원구,서울시 노원구 동일로 1461,02-950-3522,www.yonghwa.hs.kr,0,Y,Y,N,Y,N,N,N,N,N,N,N,N,37.6588542,127.0583619
21,4743,용산구청,용산구,서울시 용산구 녹사평대로 150,02-2199-6114,http://www.yongsan.go.kr/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N,37.5324201,126.9903488
22,3403,휘경공업고등학교,동대문구,서울시 동대문구 겸재로 21,02-2216-3643,http://www.hgt.hs.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5849213,127.0695589
23,3407,누원고,도봉구,서울시 도봉구 마들로 849,02-3492-7594,http://www.noowon.hs.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.6855142,127.0498868
24,3055,동양중학교,동작구,서울시 동작구 흑석로9길 94,02-814-9651,www.dongyang.ms.kr,0,Y,Y,Y,N,N,Y,N,N,N,N,N,N,37.5101255,126.9562366
25,3058,화계중학교,강북구,서울시 강북구 화계사길 63,02-986-3072,www.hwagye.ms.kr,0,Y,N,Y,N,N,N,N,N,N,N,N,N,37.6326445,127.0073066
26,3060,상계제일중학교,노원구,서울시 노원구 덕릉로86길 29-15,02-930-3543,www.sanggyejeil.mg.kr,0,Y,Y,Y,Y,N,N,N,N,N,N,N,N,37.661342,127.0777604
27,2884,목원초등학교,양천구,서울시 양천구 목동중앙로 204,02-2643-5771,www.mokwon.ne.kr/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N,37.54272770000001,126.8824793
28,3495,용문 상담심리대학원,종로구,서울시 종로구 율곡로 154,02-763-7448,http://yongmoon.ac.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5760373,126.9959142
29,2493,백상유치원,금천구,서울시 금천구 탑골로3길 50,02-806-5616,,0,N,Y,Y,N,N,N,N,N,N,N,N,N,37.4533858,126.9140551
30,5522,뉴타운장례식장,성북구,서울시 성북구 종암로 199,02-909-4444,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.6075681,127.0303943
31,2779,세곡초등학교,구로구,서울시 구로구 고척로33길 34,02-2613-5276,www.segok.es.kr,0,Y,N,Y,N,Y,N,N,N,N,N,N,N,37.5048823,126.849058
32,2514,경동유치원,성동구,서울시 성동구 금호로 100,02-2298-2277,www.kdchild.com,0,Y,N,Y,N,N,N,N,N,N,N,N,N,37.5542479,127.0257504
33,2528,우일유치원,강서구,서울시 강서구 곰달래로47길 88,02-2602-4026,,0,Y,Y,N,N,N,N,N,N,N,N,N,N,37.5351277,126.8553164
34,5330,SJ 테크노빌,금천구,서울시 금천구 벚꽃로  278,,,0,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,37.4753403,126.8859359
35,4798,서대문구청,서대문구,서울시 서대문구 연희로 248,02-330-1114,http://www.seodaemun.seoul.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5792607,126.9364946
36,5346,신한이노플렉스,금천구,서울시 금천구 가산디지털1로  149,,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N,37.4770244,126.8826848
37,4802,경찰청사,서대문구,서울시 서대문구 통일로  97,,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.581817,126.9508662
38,2951,영등포초등학교,영등포구,서울시 영등포구 경인로88길  10,02-2633-6544,www.ydp.es.kr/,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.5132839,126.9001171
39,2613,면북초등학교,중랑구,서울시 중랑구 용마공원로5길 32,02-433-3338,www.myeonbuk.es.kr/,0,Y,Y,N,Y,Y,N,N,N,N,N,N,N,37.5944753,127.1034704
40,3225,배명중고등학교,송파구,서울시 송파구 삼학사로 11,02-414-5820,www.bm.ms.kr/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N,37.50136639999999,127.095807
41,3286,용산고등학교,용산구,서울시 용산구 두텁바위로 60,02-3706-6700,http://www.yongsan.hs.kr/,0,Y,Y,N,N,Y,N,N,N,N,N,N,N,37.549307,126.9831061
42,3290,덕성여자 고등학교,종로구,서울시 종로구 율곡로3길 50,02-734-6871,http://www.duksung.hs.kr/,0,N,N,N,N,N,N,N,N,N,N,N,N,37.5773697,126.9827378
43,2718,한남초등학교,용산구,서울시 용산구 한남대로 112,02-749-2371,www.hannam.es.kr,0,Y,N,Y,N,Y,N,N,N,N,N,N,N,37.5392493,127.0051252
44,2454,한빛맹학교,강북구,서울시 강북구 삼양로73가길 47,02-989-9135,www.hanbit.sc.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.6280504,127.0157156
45,2451,교남학교,강서구,서울시 강서구 까치산로22길 38,02-2607-2456,www.kyonam.sc.kr/,0,Y,N,Y,Y,Y,N,N,N,N,N,N,N,37.54811249999999,126.85254
46,2463,예일유치원,강서구,서울시 강서구 강서로47길 126,02-2667-6767,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5536597,126.8291829
47,2763,개화초등학교,강서구,서울시 강서구 양천로 11,02-2662-0492,www.gaehwa.es.kr,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.5736852,126.8046641
48,2839,서울홍은초등학교,서대문구,서울시 서대문구 세검정로  105,02-391-2196,www.hongeun.es.kr/,0,N,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5936272,126.9477176
49,3070,대신중학교(신관),종로구,서울시 종로구 사직로 9,02-736-0317,www.dae-shin.ms.kr,0,Y,N,Y,Y,N,Y,N,N,N,N,N,N,37.5734256,126.9618971
50,2574,성동초등학교,광진구,서울시 광진구 자양로4길 63,02-447-2642,www.sungdong.es.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5330094,127.0894321
51,917,본앤본정형외과,강서구,서울시 강서구 공항대로43길 123,02-3663-9209,http://www.boneclinic.kr/,0,Y,N,Y,Y,N,N,N,N,N,N,N,N,37.56244119999999,126.8511091
52,2151,이대목동병원 병원동,양천구,서울시 양천구 안양천로 1071,02-2650-5114,www.eumc.ac.kr/mokdong/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N,37.53637940000001,126.8864324
53,2177,미즈메디병원,강서구,서울시 강서구 강서로47가길  19,02-1588-2701,www.mizmedi.com/wweb/main.asp,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5517483,126.8346342
54,3264,노원고등학교,노원구,서울시 노원구 노원로 586,02-937-0078,http://nowon.hs.kr/,0,Y,Y,N,Y,Y,N,N,N,N,N,N,N,37.6624531,127.0531016
55,2206,나누리병원,강서구,서울시 강서구 가로공원로  187,02-1688-9797,www.nanoori.co.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.53713930000001,126.8378369
56,5428,대림2동 공영주차장,영등포구,서울시 영등포구 디지털로37나길 21,,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.4915685,126.8999305
57,4711,양천우체국,양천구,서울시 양천구 목동서로 117,02-2646-0014,http://www.koreapost.go.kr/se/158,0,Y,Y,Y,Y,N,N,N,N,N,N,N,N,37.5325686,126.8759272
58,1992,청량리교회,동대문구,서울시 동대문구 황물로 15,,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.5755374,127.0453503
59,3108,한성여자중학교,성북구,서울시 성북구 삼선교로16길  116,02-742-2542,http://www.hansunggm.net/,0,N,Y,Y,N,Y,N,N,N,N,N,N,N,37.5855458,127.0108796
60,3363,양천고등학교,양천구,서울시 양천구 신정로14길 13,02-2605-5997,http://www.yangcheoncschool.net/,0,Y,N,Y,N,Y,N,N,N,N,N,N,N,37.5088072,126.8459167
61,3368,현대고등학교,강남구,서울시 강남구 압구정로 127,02-546-6323,www.hyundai.hs.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5250492,127.0226548
62,3754,정상어학원,송파구,서울시 송파구 양재대로71길 1-14,02-417-0880,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5096375,127.1258616
63,2557,서울안산초등학교,서대문구,서울시 서대문구 통일로 321,02-737-4265,www.ansan.es.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5790158,126.9515238
64,2913,서울연가초등학교,서대문구,서울시 서대문구 증가로12가길 49-50,02-372-3044,www.yeonga.es.kr/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N,37.5802016,126.9180758
65,3234,덕원중학교,강서구,서울시 강서구 강서로45길  91-44,02-2660-7955,www.deokwon.ms.kr,0,N,N,N,N,N,N,N,N,N,N,N,N,37.5493311,126.8318818
66,3256,송파공업고등학교,송파구,서울시 송파구 양산로 21,02-6711-0595,www.songpa-th.hs.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.4917279,127.1424358
67,3261,서울외국어고,도봉구,서울시 도봉구 덕릉로66길 22,1670-1005,http://www.sfl.hs.kr/,0,Y,Y,N,Y,Y,N,N,N,N,N,N,N,37.6455929,127.0519548
68,3132,진관중학교,은평구,서울시 은평구 진관4로  36,02-383-5379,www.jingwan.ms.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.6442041,126.9285948
69,711,잠실2동우체국,송파구,서울시 송파구 올림픽로 147,02-423-2004,,0,Y,N,Y,N,N,N,N,N,N,N,N,N,37.5213517,127.1026097
70,73,방화2동주민센터,강서구,서울시 강서구 개화동로23길 20,02-2600-5235,http://www.gangseo.seoul.kr/site/dong/index.jsp?dnum=21&dcode=BH2,2,Y,Y,Y,Y,N,N,N,N,N,N,N,N,37.5666818,126.8067274
71,761,자양동우체국,광진구,서울시 광진구 뚝섬로 640,02-455-2004,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.5314673,127.0805397
72,392,고덕1 치안센터,강동구,서울시 강동구 고덕로55길 63,,,0,Y,Y,N,N,N,N,N,N,N,N,N,N,37.5575813,127.1486447
73,1458,창광교회,서대문구,서울시 서대문구 연세로2길 69,,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5570041,126.9401804
74,3922,두란노어린이집,강서구,서울시 강서구 금낭화로13길 51,02-2663-5590,,0,Y,Y,Y,Y,N,N,N,N,N,N,N,N,37.5714497,126.8084841
75,4334,관악예삐어린이집,관악구,서울시 관악구 문성로 238,02-863-7884,,1,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.4787456,126.9298379
76,4339,하나몬테소리어린이집,은평구,서울시 은평구 증산로17길  25-1,02-375-1233,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.5910476,126.9096189
77,5340,마리오-2 패션타워,금천구,서울시 금천구 디지털로9길 23,02-2109-7000,http://www.mariooutlet.co.kr/web/outlet/mariooutlet_comway,0,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,37.47867129999999,126.8864968
78,4606,강동청소년수련관,강동구,서울시 강동구 아리수로93길 47,02-6252-1300,http://www.wagle.or.kr/,0,N,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5665524,127.1732064
79,3926,구립 둔촌어린이집,강동구,서울시 강동구 명일로 129,02-474-7445,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.5305225,127.1430056
80,5366,메가벤처타워,영등포구,서울시 영등포구 문래로20길   60,02-2632-4438,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N,37.5174494,126.8919249
81,4649,대한체육회선수촌,노원구,서울시 노원구 화랑로 681,02-970-0021,,0,Y,Y,N,N,N,N,N,N,N,N,N,N,37.6376541,127.1048077
82,4673,이천이프라자,강서구,서울시 강서구 공항대로  271,,,0,Y,N,Y,N,N,N,N,N,N,N,N,N,37.5533338,126.8510294
83,1415,LG아트센터,강남구,서울시 강남구 논현로  508,02-2005-0114,http://www.lgart.com,0,Y,Y,N,Y,N,N,Y,N,N,N,N,N,37.4956175,127.0394905
84,3544,이화여자대학교 E.C.C(이화캠퍼스밸리),서대문구,서울시 서대문구 이화여대길 52,02-3277-2114,www.ewha.ac.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5642551,126.9503079
85,3463,선일이비즈니스고등학교,은평구,서울시 은평구 갈현로29길 27,02-352-8025,www.ebiz.hs.kr,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N,37.6197497,126.9126173
86,3907,롯대백화점어린이집,종로구,서울시 종로구 북촌로5길 11,02-3674-5004,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N,37.579208,126.9842174
87,3917,홍익어린이집,양천구,서울시 양천구 지양로9길 5,02-2607-4523,,0,N,Y,Y,N,Y,N,N,N,N,N,N,N,37.5219678,126.8329149
88,3057,광희중학교,성동구,서울시 성동구 독서당로62길 46,02-2298-0250,www.kwanghee.ms.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5504317,127.0337209
89,3320,선일여자고등학교,은평구,서울시 은평구 갈현로29길 27,02-355-9994,www.sunil.hs.kr,0,Y,Y,N,N,N,N,N,N,N,N,N,N,37.6197497,126.9126173
90,2887,강남초등학교,동작구,서울시 동작구 강남초등길 15,02-824-4471,www.kangnam-se.es.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.50607979999999,126.9535841
91,3531,추계예술대학교,서대문구,서울시 서대문구 북아현로11가길  7,02-362-5700,www.chugye.ac.kr,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.5629468,126.9542673
92,2678,미양초등학교,강북구,서울시 강북구 솔샘로 195,02-989-9467,www.mi-yang.es.kr,3,N,Y,Y,Y,Y,N,N,N,N,N,N,N,37.6214401,127.0134047
93,5501,LG U+(KIDC),강남구,서울시 강남구 언주로 616,,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N,37.5110096,127.03697
94,2853,동신초등학교,성북구,서울시 성북구 보문사길  50,02-923-3870,www.sdongsin.es.kr,0,N,Y,Y,N,N,N,N,N,N,N,N,N,37.5824069,127.0174901
95,3566,유림학원,관악구,서울시 관악구 호암로20길 46,,,0,Y,Y,N,N,N,N,N,N,N,N,N,N,37.4672369,126.93456
96,3101,동북중학교,강동구,서울시 강동구 강동대로  305,02-477-2280,www.dongbuk.ms.kr,0,N,Y,N,N,N,N,N,N,N,N,N,N,37.5231922,127.1313538
97,2539,청원초병설유치원,노원구,서울시 노원구 한글비석로 506,02-3399-7886,www.cheongwon-seoul.es.kr/,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.66602839999999,127.0620129
98,2558,상지초등학교,마포구,서울시 마포구 월드컵로42길  30,02-303-9009,www.seoulsangji.es.kr,0,Y,Y,N,Y,Y,N,N,N,N,N,N,N,37.579138,126.8815196
99,2896,망우초등학교,중랑구,서울시 중랑구 망우로72길 49,02-2209-6323,www.mangwoo.es.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.59831459999999,127.1035908
100,2898,연촌초등학교,노원구,서울시 노원구 공릉로58길 36,02-972-1676,www.yeonchon.es.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.6350647,127.0728621
101,2908,서울 대방초등학교,영등포구,서울시 영등포구 여의대방로35길 14,02-833-0083,www.sdaebang.es.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5026701,126.9191481
102,3110,고려사대부속중학교,성북구,서울시 성북구 정릉로 161,02-914-8853/914-3368,http://www.koryo.ms.kr/,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.6096807,127.0012996
103,3038,재현중학교,노원구,서울시 노원구 덕릉로82길 64,02-932-4816,http://jaehyun.ms.kr/,0,N,Y,Y,Y,Y,N,N,N,N,N,N,N,37.6615474,127.0814504
104,2503,불광유치원,송파구,서울시 송파구 송파대로4길 23,02-422-1311~2,www.bulkwangkids.com,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.4765682,127.1347366
105,3116,북서울중,도봉구,서울시 도봉구 도봉로169가길 33,02-956-1004,http://www.bukseoul.ms.kr/,0,Y,N,N,N,Y,N,N,N,N,N,N,N,37.6813005,127.0430239
106,2581,신광초등학교,용산구,서울시 용산구 청파로 263,02-710-7900,www.shinkwang.es.kr,0,Y,Y,N,N,N,N,N,N,N,N,N,N,37.5431703,126.9699957
107,864,새락골어린이공원화장실,은평구,서울시 은평구 은평로3가길 34,,http://www.ep.go.kr/CmsWeb/viewPage.req?idx=PG0000001069,0,Y,N,Y,N,Y,N,N,N,N,N,N,N,37.5989141,126.9113115
108,358,가락1동주민센터,송파구,서울시 송파구 송파대로 35,02-2147-4450,http://www.songpa.go.kr/user.kdf?a=songpa.menu.MenuApp&cate_id=BC0100000000,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N,37.49336,127.1196835
109,3860,지안어린이집,광진구,서울시 광진구 뚝섬로58가길 26-4,02-3436-3866,,0,Y,Y,Y,Y,N,N,N,N,N,N,N,N,37.5304724,127.0833092
110,3862,한울어린이집,광진구,서울시 광진구 천호대로117길 51,02-458-7005,,0,Y,Y,N,Y,N,N,N,N,N,N,N,N,37.5571865,127.0851449
111,3864,하늘빛어린이집,중랑구,서울시 중랑구 봉화산로21길 14,02-434-7117,,0,N,Y,Y,N,N,N,N,N,N,N,N,N,37.6021915,127.0821003
112,3868,제자어린이집,노원구,서울시 노원구 중계로14바길 10,02-930-3172,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.6498117,127.0829877
113,231,수궁동주민센터,구로구,서울시 구로구 오리로15길 32,02-2620-7650,http://www.guro.go.kr/dong/NR_index.do?categoryVal=1015,0,Y,Y,N,N,N,N,N,N,N,N,N,N,37.49386459999999,126.8314537
114,236,답십리1동주민센터,동대문구,서울시 동대문구 사가정로  30,02-2171-6220,http://dong.ddm.go.kr/intro,0,Y,Y,N,N,N,N,N,N,N,N,N,N,37.5771492,127.0643595
115,1646,노량진교회기념관,동작구,서울시 동작구 노량진로30길 9,02-814-3425,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.512161,126.9557321
116,4071,도레미어린이집,송파구,서울시 송파구 송이로17길 13,02-430-3123,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.4987465,127.1225992
117,4073,꼬예미키즈어린이집,송파구,서울시 송파구 오금로36길 37,02-448-4481,,0,Y,Y,N,N,N,N,N,N,N,N,N,N,37.50054739999999,127.1237622
118,109,응암3동주민센터,은평구,서울시 은평구 불광천길 410-17,02-351-5272,http://www.ep.go.kr/CmsWeb/viewPage.req?idx=PG0000002312,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5921977,126.9156986
119,1510,선교교회,강서구,서울시 강서구 곰달래로25길 74,,,0,Y,Y,N,N,N,N,N,N,N,N,N,N,37.5339105,126.8480915
120,507,면목1치안센터,중랑구,서울시 중랑구 면목로66길 7,02-434-6307,,0,Y,Y,N,N,N,N,N,N,N,N,N,N,37.5866377,127.0886015
121,1557,창동제일교회,도봉구,서울시 도봉구 해등로   126,,,1,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.6554768,127.0323978
122,839,공중화장실,도봉구,서울시 도봉구 시루봉로6길 33,,,0,Y,N,N,N,Y,N,N,N,N,N,N,N,37.65967819999999,127.0296263
123,229,고덕1동 주민센터,강동구,서울시 강동구 아리수로54길 55,02-3425-7520,http://dong.gangdong.go.kr/site/contents/dong/3240043/main.jsp,0,N,Y,N,N,N,N,N,N,N,N,N,N,37.56038789999999,127.1498654
124,5730,BYRDS(버즈),마포구,서울시 마포구 와우산로 51,,,0,N,N,N,N,N,N,N,N,N,N,N,N,37.5490505,126.9228345
125,5741,명월관,마포구,서울시 마포구 와우산로19길 6-5,,,0,N,N,N,N,N,N,N,N,N,N,N,N,37.551445,126.9227853
126,372,서교동주민센터,마포구,서울시 마포구 월드컵북로  15,02-3153-6740,http://www.mapo.go.kr/CmsWeb/template/seogyo,0,N,Y,Y,Y,N,N,N,N,N,N,N,N,37.5697271,126.9029931
127,103,둔촌1동 주민센터,강동구,서울시 강동구 양재대로84길 31,02-3425-7880,http://dong.gangdong.go.kr/site/contents/dong/3240058/main.jsp?uri=http%3A%2F%2Fdong.gangdong.go.kr%2Fsite%2Fcontents%2Fdong%2F3240058%2Fmain.jsp,0,Y,Y,N,N,Y,N,N,N,N,N,N,N,37.5234029,127.1366454
128,1613,소림서원(동인암),관악구,서울시 관악구 봉천로23마길 12,,,0,Y,Y,N,N,N,N,N,N,N,N,N,N,37.4883483,126.935348
129,868,나들이공원화장실(단지내),강서구,서울시 강서구 허준로 23,,,0,Y,N,Y,N,N,N,N,N,N,N,N,N,37.571269,126.8448731
130,5946,서울시도서관 (옛 서울청사),중구,서울시 중구 태평로1가 31,,,0,Y,N,Y,Y,Y,N,N,N,N,N,N,N,37.5663797,126.9777154
131,883,무지개공원화장실(단지내),강서구,서울시 강서구 양천로57길 37,,,0,Y,N,Y,N,N,N,N,N,N,N,N,N,37.5649565,126.8519975
132,208,송파2동주민센터,송파구,서울시 송파구 송이로 32,02-2147-4330,http://www.songpa.go.kr/user.kdf?a=songpa.menu.MenuApp&cate_id=BC1500000000,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N,37.4886476,127.127438
133,184,신길4동주민센터,영등포구,서울시 영등포구 신길로42길 1,02-2670-1299,http://www.ydp.go.kr/jumin/page.do?mCode=A025000000&path=jumin&dongNm=%BD%C5%B1%E64%B5%BF,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.5084121,126.9112654
134,2021,예능교회,종로구,서울시 종로구 세검정로 363-5,02-379-8855,www.ynch.com,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.6071318,126.9695527
135,2023,한밀교회,강서구,서울시 강서구 수명로2길 88,02-2605-7588,www.hanmil.or.kr/,1,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.5508235,126.8277515
136,2304,노블요양병원,은평구,서울시 은평구 응암로  304,02-382-0088,noblesilver.co.kr,0,Y,Y,N,Y,N,N,N,N,N,N,N,N,37.5916222,126.9182398
137,2312,건강한세상앞선치과병원,강남구,서울시 강남구 테헤란로87길 46,02-2016-7528,www.apsundental.com,1,Y,Y,Y,Y,N,N,N,N,N,N,N,N,37.5101935,127.0585824
138,2053,관악프라자,관악구,서울시 관악구 관악로  212,,,1,Y,Y,Y,Y,N,N,N,N,N,N,N,N,37.4814353,126.9549042
139,2076,홈플러스 가양점,강서구,서울시 강서구 양천로  431,02-2063-2080,www.homeplus.co.kr/,0,N,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5642415,126.8426754
140,2231,새빛요양병원(윤빌딩),강서구,서울시 강서구 화곡로61길 109,02-2658-3929,www.saebit.net,0,N,Y,N,Y,Y,N,N,N,N,N,N,N,37.5582849,126.8464137
141,950,연세웰치과,도봉구,서울시 도봉구 도봉로 480,02-902-7528,http://www.yonseiwell.co.kr/,0,Y,Y,N,Y,N,N,N,N,N,N,N,N,37.6483224,127.0348734
142,2041,이마트 묵동점,중랑구,서울시 중랑구 동일로 932,02-2083-1234,www.store.emart.com/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.613797,127.0775029
143,3507,국민대경상관,성북구,서울시 성북구 정릉로 77,02-910-4511,http://kyungsang.kookmin.ac.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.6108694,126.9972889
144,3550,방송통신대,성동구,서울시 성동구 아차산로 12,02-460-6777,www.wseoul.knou.ac.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.5474348,127.0453479
145,3828,예일어린이집,은평구,서울시 은평구 은평로6길  11,02-358-7020,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N,37.5989113,126.919077
